"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2211","fullscreen","0","10641","0.0-0.0","0","0","DYGU0","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","20639","0.0-1.0-0.0","0","0","DYGU0","Scenes","[{""page_index"":0,""viewing_time"":8328},{""page_index"":1,""viewing_time"":1670}]","9998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","29943","0.0-1.0-1.0","0","0","DYGU0","Scenes","","9303","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","33003","0.0-2.0","0","0","DYGU0","Scenes","","3058","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","37107","0.0-3.0","0","0","DYGU0","Scenes","","4103","","","","75","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","42847","0.0-4.0","0","0","DYGU0","Scenes","","5739","","","","86","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","46151","0.0-5.0","0","0","DYGU0","Scenes","","3304","","","","81","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","49585","0.0-6.0","0","0","DYGU0","Scenes","","3433","","","","61","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","52727","0.0-7.0","0","0","DYGU0","Scenes","","3141","","","","39","103","anton-darius-FBJugtbHsWU-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","55835","0.0-8.0","0","0","DYGU0","Scenes","","3106","","","","56","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
