"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2041","fullscreen","0","11795","0.0-0.0","0","0","Dw8mv","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","20732","0.0-1.0-0.0","0","0","Dw8mv","Scenes","[{""page_index"":0,""viewing_time"":6814},{""page_index"":1,""viewing_time"":2121}]","8935","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","29425","0.0-1.0-1.0","0","0","Dw8mv","Scenes","","8691","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","31943","0.0-2.0","0","0","Dw8mv","Scenes","","2516","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","36768","0.0-3.0","0","0","Dw8mv","Scenes","","4823","","","","78","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","40088","0.0-4.0","0","0","Dw8mv","Scenes","","3319","","","","68","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","42829","0.0-5.0","0","0","Dw8mv","Scenes","","2740","","","","100","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","45122","0.0-6.0","0","0","Dw8mv","Scenes","","2291","","","","80","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","48072","0.0-7.0","0","0","Dw8mv","Scenes","","2949","","","","46","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","51520","0.0-8.0","0","0","Dw8mv","Scenes","","3446","","","","100","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
