"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2311","fullscreen","0","769725","0.0-0.0","0","0","E7AW5","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","781284","0.0-1.0-0.0","0","0","E7AW5","Scenes","[{""page_index"":0,""viewing_time"":6508},{""page_index"":1,""viewing_time"":1312},{""page_index"":0,""viewing_time"":2256},{""page_index"":1,""viewing_time"":1480}]","11556","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","786093","0.0-1.0-1.0","0","0","E7AW5","Scenes","","4805","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","795976","0.0-2.0","0","0","E7AW5","Scenes","","9879","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","802284","0.0-3.0","0","0","E7AW5","Scenes","","6306","","","","88","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","805276","0.0-4.0","0","0","E7AW5","Scenes","","2988","","","","55","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","807892","0.0-5.0","0","0","E7AW5","Scenes","","2614","","","","11","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","812004","0.0-6.0","0","0","E7AW5","Scenes","","4110","","","","35","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","815676","0.0-7.0","0","0","E7AW5","Scenes","","3669","","","","5","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","818052","0.0-8.0","0","0","E7AW5","Scenes","","2374","","","","100","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","820732","0.0-9.0","0","0","E7AW5","Scenes","","2676","","","","100","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","822739","0.0-10.0","0","0","E7AW5","Scenes","","2005","","","","77","132","meng-ji-8BH_M-53CyA-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
