"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2356","fullscreen","0","2678","0.0-0.0","0","0","FiwW9","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","17046","0.0-1.0-0.0","0","0","FiwW9","Scenes","[{""page_index"":0,""viewing_time"":11651},{""page_index"":1,""viewing_time"":2711}]","14362","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","26228","0.0-1.0-1.0","0","0","FiwW9","Scenes","","9174","{""Q0"":""False"",""Q1"":""Mouse""}","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","29284","0.0-1.0-2.0-0.0","0","1","FiwW9","Scenes","","3049","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","4","45285","0.0-1.1-0.1","0","0","FiwW9","Scenes","[{""page_index"":0,""viewing_time"":14488},{""page_index"":1,""viewing_time"":1510}]","15998","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","5","55030","0.0-1.1-1.1","0","0","FiwW9","Scenes","","9737","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","6","60042","0.0-2.0","0","0","FiwW9","Scenes","","5005","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","66610","0.0-3.0","0","0","FiwW9","Scenes","","6563","","","","100","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","70448","0.0-4.0","0","0","FiwW9","Scenes","","3831","","","","65","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","73547","0.0-5.0","0","0","FiwW9","Scenes","","3091","","","","70","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","76740","0.0-6.0","0","0","FiwW9","Scenes","","3184","","","","36","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","80276","0.0-7.0","0","0","FiwW9","Scenes","","3530","","","","100","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","84118","0.0-8.0","0","0","FiwW9","Scenes","","3835","","","","91","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","87990","0.0-9.0","0","0","FiwW9","Scenes","","3866","","","","56","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","94921","0.0-10.0","0","0","FiwW9","Scenes","","6925","","","","78","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","97468","0.0-11.0","0","0","FiwW9","Scenes","","2542","","","","69","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","100076","0.0-12.0","0","0","FiwW9","Scenes","","2603","","","","62","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","105415","0.0-13.0","0","0","FiwW9","Scenes","","5333","","","","10","118","henry-be-NLF6hTe4PAg-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","108051","0.0-14.0","0","0","FiwW9","Scenes","","2632","","","","46","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","111089","0.0-15.0","0","0","FiwW9","Scenes","","3032","","","","50","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","116349","0.0-16.0","0","0","FiwW9","Scenes","","5255","","","","72","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","120309","0.0-17.0","0","0","FiwW9","Scenes","","3954","","","","50","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","123883","0.0-18.0","0","0","FiwW9","Scenes","","3568","","","","31","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","128315","0.0-19.0","0","0","FiwW9","Scenes","","4427","","","","86","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","131905","0.0-20.0","0","0","FiwW9","Scenes","","3585","","","","97","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","134508","0.0-21.0","0","0","FiwW9","Scenes","","2598","","","","94","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","138239","0.0-22.0","0","0","FiwW9","Scenes","","3726","","","","90","103","anton-darius-FBJugtbHsWU-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","141911","0.0-23.0","0","0","FiwW9","Scenes","","3666","","","","100","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","145507","0.0-24.0","0","0","FiwW9","Scenes","","3590","","","","29","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","149676","0.0-25.0","0","0","FiwW9","Scenes","","4164","","","","52","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","155123","0.0-26.0","0","0","FiwW9","Scenes","","5440","","","","56","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","158808","0.0-27.0","0","0","FiwW9","Scenes","","3681","","","","72","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","161260","0.0-28.0","0","0","FiwW9","Scenes","","2447","","","","82","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","164106","0.0-29.0","0","0","FiwW9","Scenes","","2841","","","","11","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","167152","0.0-30.0","0","0","FiwW9","Scenes","","3040","","","","48","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","169678","0.0-31.0","0","0","FiwW9","Scenes","","2521","","","","36","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","173012","0.0-32.0","0","0","FiwW9","Scenes","","3329","","","","86","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","176378","0.0-33.0","0","0","FiwW9","Scenes","","3360","","","","59","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","179795","0.0-34.0","0","0","FiwW9","Scenes","","3411","","","","91","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","183812","0.0-35.0","0","0","FiwW9","Scenes","","4013","","","","100","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","191647","0.0-36.0","0","0","FiwW9","Scenes","","7829","","","","3","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
