"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2134","fullscreen","0","730769","0.0-0.0","0","0","Fmgl1","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","785088","0.0-1.0-0.0","0","0","Fmgl1","Scenes","[{""page_index"":0,""viewing_time"":47254},{""page_index"":1,""viewing_time"":4027},{""page_index"":0,""viewing_time"":2444},{""page_index"":1,""viewing_time"":589}]","54315","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","791507","0.0-1.0-1.0","0","0","Fmgl1","Scenes","","6413","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","796009","0.0-2.0","0","0","Fmgl1","Scenes","","4497","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","800590","0.0-3.0","0","0","Fmgl1","Scenes","","4578","","","","81","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","804261","0.0-4.0","0","0","Fmgl1","Scenes","","3668","","","","100","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","809048","0.0-5.0","0","0","Fmgl1","Scenes","","4784","","","","83","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","813626","0.0-6.0","0","0","Fmgl1","Scenes","","4576","","","","79","103","anton-darius-FBJugtbHsWU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","819459","0.0-7.0","0","0","Fmgl1","Scenes","","5831","","","","88","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","824141","0.0-8.0","0","0","Fmgl1","Scenes","","4679","","","","67","113","damian-denis-D8R_txR_0PE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
