"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0430","fullscreen","0","34195","0.0-0.0","0","0","Gaf7I","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","54399","0.0-1.0-0.0","0","0","Gaf7I","Scenes","[{""page_index"":0,""viewing_time"":17354},{""page_index"":1,""viewing_time"":2845}]","20199","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","60369","0.0-1.0-1.0","0","0","Gaf7I","Scenes","","5968","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","62967","0.0-2.0","0","0","Gaf7I","Scenes","","2596","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","67260","0.0-3.0","0","0","Gaf7I","Scenes","","4290","","","","77","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","70667","0.0-4.0","0","0","Gaf7I","Scenes","","3403","","","","95","125","john-lee-oMneOBYhJxY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","75016","0.0-5.0","0","0","Gaf7I","Scenes","","4347","","","","56","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","79438","0.0-6.0","0","0","Gaf7I","Scenes","","4420","","","","8","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","84338","0.0-7.0","0","0","Gaf7I","Scenes","","4897","","","","85","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","88979","0.0-8.0","0","0","Gaf7I","Scenes","","4637","","","","98","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
