"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1354","fullscreen","0","9561","0.0-0.0","0","0","Gh7vV","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","20532","0.0-1.0-0.0","0","0","Gh7vV","People","[{""page_index"":0,""viewing_time"":7821},{""page_index"":1,""viewing_time"":3148}]","10969","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","25448","0.0-1.0-1.0","0","0","Gh7vV","People","","4913","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","27663","0.0-2.0","0","0","Gh7vV","People","","2213","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","35199","0.0-3.0","0","0","Gh7vV","People","","7534","","","","","6","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","41356","0.0-4.0","0","0","Gh7vV","People","","6155","","","","","68","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","49007","0.0-5.0","0","0","Gh7vV","People","","7650","","","","","78","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","54991","0.0-6.0","0","0","Gh7vV","People","","5982","","","","","36","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","61455","0.0-7.0","0","0","Gh7vV","People","","6463","","","","","8","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","67419","0.0-8.0","0","0","Gh7vV","People","","5962","","","","","2","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","73911","0.0-9.0","0","0","Gh7vV","People","","6490","","","","","72","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","80107","0.0-10.0","0","0","Gh7vV","People","","6194","","","","","92","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","88671","0.0-11.0","0","0","Gh7vV","People","","8562","","","","","34","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","94582","0.0-12.0","0","0","Gh7vV","People","","5911","","","","","98","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","106822","0.0-13.0","0","0","Gh7vV","People","","12239","","","","","45","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","111014","0.0-14.0","0","0","Gh7vV","People","","4190","","","","","90","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","116286","0.0-15.0","0","0","Gh7vV","People","","5271","","","","","81","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","127070","0.0-16.0","0","0","Gh7vV","People","","10783","","","","","30","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","134314","0.0-17.0","0","0","Gh7vV","People","","7243","","","","","32","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","138878","0.0-18.0","0","0","Gh7vV","People","","4563","","","","","95","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","143466","0.0-19.0","0","0","Gh7vV","People","","4587","","","","","3","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","147842","0.0-20.0","0","0","Gh7vV","People","","4374","","","","","78","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","151778","0.0-21.0","0","0","Gh7vV","People","","3935","","","","","4","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
