"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2100","fullscreen","0","4020","0.0-0.0","0","0","JAECO","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","14157","0.0-1.0-0.0","0","0","JAECO","Scenes","[{""page_index"":0,""viewing_time"":5371},{""page_index"":1,""viewing_time"":2311},{""page_index"":0,""viewing_time"":2007},{""page_index"":1,""viewing_time"":447}]","10136","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","18555","0.0-1.0-1.0","0","0","JAECO","Scenes","","4395","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","20656","0.0-2.0","0","0","JAECO","Scenes","","2099","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","24153","0.0-3.0","0","0","JAECO","Scenes","","3495","","","","76","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","28878","0.0-4.0","0","0","JAECO","Scenes","","4724","","","","84","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","32046","0.0-5.0","0","0","JAECO","Scenes","","3166","","","","52","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","34396","0.0-6.0","0","0","JAECO","Scenes","","2349","","","","66","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","36723","0.0-7.0","0","0","JAECO","Scenes","","2325","","","","81","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","39497","0.0-8.0","0","0","JAECO","Scenes","","2773","","","","58","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","42649","0.0-9.0","0","0","JAECO","Scenes","","3150","","","","31","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","45879","0.0-10.0","0","0","JAECO","Scenes","","3229","","","","40","103","anton-darius-FBJugtbHsWU-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","48557","0.0-11.0","0","0","JAECO","Scenes","","2676","","","","38","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","51733","0.0-12.0","0","0","JAECO","Scenes","","3174","","","","33","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","55339","0.0-13.0","0","0","JAECO","Scenes","","3605","","","","43","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","59225","0.0-14.0","0","0","JAECO","Scenes","","3886","","","","24","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","63463","0.0-15.0","0","0","JAECO","Scenes","","4236","","","","72","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","66198","0.0-16.0","0","0","JAECO","Scenes","","2733","","","","74","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","68764","0.0-17.0","0","0","JAECO","Scenes","","2565","","","","80","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","71068","0.0-18.0","0","0","JAECO","Scenes","","2302","","","","74","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","73211","0.0-19.0","0","0","JAECO","Scenes","","2142","","","","73","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","76945","0.0-20.0","0","0","JAECO","Scenes","","3733","","","","59","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","79824","0.0-21.0","0","0","JAECO","Scenes","","2877","","","","29","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","82423","0.0-22.0","0","0","JAECO","Scenes","","2598","","","","71","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","84638","0.0-23.0","0","0","JAECO","Scenes","","2214","","","","78","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","87356","0.0-24.0","0","0","JAECO","Scenes","","2717","","","","79","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","90092","0.0-25.0","0","0","JAECO","Scenes","","2734","","","","43","118","henry-be-NLF6hTe4PAg-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","92162","0.0-26.0","0","0","JAECO","Scenes","","2069","","","","71","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","94625","0.0-27.0","0","0","JAECO","Scenes","","2461","","","","78","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
