"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2035","fullscreen","0","14198","0.0-0.0","0","0","KRhFE","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","24284","0.0-1.0-0.0","0","0","KRhFE","Scenes","[{""page_index"":0,""viewing_time"":7380},{""page_index"":1,""viewing_time"":2704}]","10084","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","30036","0.0-1.0-1.0","0","0","KRhFE","Scenes","","5750","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","32268","0.0-2.0","0","0","KRhFE","Scenes","","2230","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","35620","0.0-3.0","0","0","KRhFE","Scenes","","3350","","","","90","139","samsommer-vddccTqwal8-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","38780","0.0-4.0","0","0","KRhFE","Scenes","","3159","","","","90","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","41676","0.0-5.0","0","0","KRhFE","Scenes","","2895","","","","76","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","44476","0.0-6.0","0","0","KRhFE","Scenes","","2799","","","","75","130","lina-loos-04-C1NZk1hE-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","47060","0.0-7.0","0","0","KRhFE","Scenes","","2582","","","","85","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","49963","0.0-8.0","0","0","KRhFE","Scenes","","2903","","","","86","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","52579","0.0-9.0","0","0","KRhFE","Scenes","","2614","","","","82","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","55220","0.0-10.0","0","0","KRhFE","Scenes","","2639","","","","100","125","john-lee-oMneOBYhJxY-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","58546","0.0-11.0","0","0","KRhFE","Scenes","","3326","","","","66","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","60907","0.0-12.0","0","0","KRhFE","Scenes","","2359","","","","62","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
