"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2305","fullscreen","0","7944","0.0-0.0","0","0","NIX0X","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","18647","0.0-1.0-0.0","0","0","NIX0X","Scenes","[{""page_index"":0,""viewing_time"":9130},{""page_index"":1,""viewing_time"":1571}]","10701","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","23739","0.0-1.0-1.0","0","0","NIX0X","Scenes","","5087","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","25337","0.0-2.0","0","0","NIX0X","Scenes","","1594","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","37228","0.0-3.0","0","0","NIX0X","Scenes","","11888","","","","76","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","45448","0.0-4.0","0","0","NIX0X","Scenes","","8217","","","","94","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","49922","0.0-5.0","0","0","NIX0X","Scenes","","4472","","","","100","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","55475","0.0-6.0","0","0","NIX0X","Scenes","","5550","","","","92","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","58602","0.0-7.0","0","0","NIX0X","Scenes","","3125","","","","37","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","62150","0.0-8.0","0","0","NIX0X","Scenes","","3545","","","","61","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","65468","0.0-9.0","0","0","NIX0X","Scenes","","3315","","","","19","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","69641","0.0-10.0","0","0","NIX0X","Scenes","","4171","","","","71","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","72909","0.0-11.0","0","0","NIX0X","Scenes","","3267","","","","90","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","78399","0.0-12.0","0","0","NIX0X","Scenes","","5487","","","","70","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","84910","0.0-13.0","0","0","NIX0X","Scenes","","6507","","","","42","118","henry-be-NLF6hTe4PAg-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
