"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1355","fullscreen","0","9492","0.0-0.0","0","0","NWBJA","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","22707","0.0-1.0-0.0","0","0","NWBJA","People","[{""page_index"":0,""viewing_time"":10916},{""page_index"":1,""viewing_time"":2298}]","13214","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","28455","0.0-1.0-1.0","0","0","NWBJA","People","","5747","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","54132","0.0-2.0","0","0","NWBJA","People","","25675","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","58754","0.0-3.0","0","0","NWBJA","People","","4620","","","","","50","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","62092","0.0-4.0","0","0","NWBJA","People","","3336","","","","","71","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","65394","0.0-5.0","0","0","NWBJA","People","","3301","","","","","25","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","67935","0.0-6.0","0","0","NWBJA","People","","2540","","","","","23","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","70246","0.0-7.0","0","0","NWBJA","People","","2310","","","","","14","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","72812","0.0-8.0","0","0","NWBJA","People","","2565","","","","","15","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
