"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1711","fullscreen","0","68159","0.0-0.0","0","0","OgF5m","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","108153","0.0-1.0-0.0","0","0","OgF5m","People","[{""page_index"":0,""viewing_time"":26015},{""page_index"":1,""viewing_time"":13978}]","39994","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","115666","0.0-1.0-1.0","0","0","OgF5m","People","","7510","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","119366","0.0-2.0","0","0","OgF5m","People","","3699","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","124249","0.0-3.0","0","0","OgF5m","People","","4881","","","","","78","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","130095","0.0-4.0","0","0","OgF5m","People","","5845","","","","","39","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","134899","0.0-5.0","0","0","OgF5m","People","","4803","","","","","17","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","140756","0.0-6.0","0","0","OgF5m","People","","5856","","","","","54","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","149854","0.0-7.0","0","0","OgF5m","People","","9097","","","","","42","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","158369","0.0-8.0","0","0","OgF5m","People","","8513","","","","","64","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","161935","0.0-9.0","0","0","OgF5m","People","","3565","","","","","88","24","joel-mott-LaK153ghdig-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","164862","0.0-10.0","0","0","OgF5m","People","","2927","","","","","16","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","168807","0.0-11.0","0","0","OgF5m","People","","3943","","","","","55","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","172051","0.0-12.0","0","0","OgF5m","People","","3243","","","","","84","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","179601","0.0-13.0","0","0","OgF5m","People","","7549","","","","","63","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","184025","0.0-14.0","0","0","OgF5m","People","","4424","","","","","20","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","187548","0.0-15.0","0","0","OgF5m","People","","3521","","","","","79","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","190611","0.0-16.0","0","0","OgF5m","People","","3062","","","","","73","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","194159","0.0-17.0","0","0","OgF5m","People","","3547","","","","","41","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","198058","0.0-18.0","0","0","OgF5m","People","","3897","","","","","58","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
