"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1357","fullscreen","0","22277","0.0-0.0","0","0","Ooi3v","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","47623","0.0-1.0-0.0","0","0","Ooi3v","People","[{""page_index"":0,""viewing_time"":13102},{""page_index"":1,""viewing_time"":3904},{""page_index"":0,""viewing_time"":7400},{""page_index"":1,""viewing_time"":938}]","25344","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","52674","0.0-1.0-1.0","0","0","Ooi3v","People","","5048","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","54226","0.0-2.0","0","0","Ooi3v","People","","1551","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","57538","0.0-3.0","0","0","Ooi3v","People","","3311","","","","","64","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","60642","0.0-4.0","0","0","Ooi3v","People","","3102","","","","","77","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","65097","0.0-5.0","0","0","Ooi3v","People","","4453","","","","","63","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","68291","0.0-6.0","0","0","Ooi3v","People","","3193","","","","","58","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","71130","0.0-7.0","0","0","Ooi3v","People","","2837","","","","","61","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","74900","0.0-8.0","0","0","Ooi3v","People","","3768","","","","","44","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","77984","0.0-9.0","0","0","Ooi3v","People","","3082","","","","","45","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","81128","0.0-10.0","0","0","Ooi3v","People","","3142","","","","","64","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","84395","0.0-11.0","0","0","Ooi3v","People","","3266","","","","","62","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","87833","0.0-12.0","0","0","Ooi3v","People","","3436","","","","","43","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","90675","0.0-13.0","0","0","Ooi3v","People","","2840","","","","","45","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","93803","0.0-14.0","0","0","Ooi3v","People","","3127","","","","","53","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","100596","0.0-15.0","0","0","Ooi3v","People","","6792","","","","","58","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","103672","0.0-16.0","0","0","Ooi3v","People","","3074","","","","","59","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","106306","0.0-17.0","0","0","Ooi3v","People","","2632","","","","","33","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
