"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2044","fullscreen","0","107587","0.0-0.0","0","0","P8w1m","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","139139","0.0-1.0-0.0","0","0","P8w1m","Scenes","[{""page_index"":0,""viewing_time"":27324},{""page_index"":1,""viewing_time"":4224}]","31549","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","148474","0.0-1.0-1.0","0","0","P8w1m","Scenes","","9331","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","151150","0.0-2.0","0","0","P8w1m","Scenes","","2672","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","155546","0.0-3.0","0","0","P8w1m","Scenes","","4393","","","","","76","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","159291","0.0-4.0","0","0","P8w1m","Scenes","","3742","","","","","89","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","163114","0.0-5.0","0","0","P8w1m","Scenes","","3821","","","","","79","132","meng-ji-8BH_M-53CyA-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","166906","0.0-6.0","0","0","P8w1m","Scenes","","3789","","","","","69","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","170427","0.0-7.0","0","0","P8w1m","Scenes","","3518","","","","","63","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","174714","0.0-8.0","0","0","P8w1m","Scenes","","4286","","","","","56","113","damian-denis-D8R_txR_0PE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
