"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1400","fullscreen","0","300225","0.0-0.0","0","0","PKUhO","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","324308","0.0-1.0-0.0","0","0","PKUhO","People","[{""page_index"":0,""viewing_time"":20815},{""page_index"":1,""viewing_time"":3266}]","24081","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","332707","0.0-1.0-1.0","0","0","PKUhO","People","","8395","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","336988","0.0-2.0","0","0","PKUhO","People","","4278","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","343966","0.0-3.0","0","0","PKUhO","People","","6976","","","","","68","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","349037","0.0-4.0","0","0","PKUhO","People","","5061","","","","","71","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","355573","0.0-5.0","0","0","PKUhO","People","","6525","","","","","84","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","361014","0.0-6.0","0","0","PKUhO","People","","5433","","","","","32","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","366168","0.0-7.0","0","0","PKUhO","People","","5151","","","","","13","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","370262","0.0-8.0","0","0","PKUhO","People","","4092","","","","","16","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","373886","0.0-9.0","0","0","PKUhO","People","","3623","","","","","21","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
