"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2155","fullscreen","0","10033","0.0-0.0","0","0","Px1eR","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","20283","0.0-1.0-0.0","0","0","Px1eR","Scenes","[{""page_index"":0,""viewing_time"":8094},{""page_index"":1,""viewing_time"":2152}]","10247","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","25905","0.0-1.0-1.0","0","0","Px1eR","Scenes","","5617","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","29711","0.0-2.0","0","0","Px1eR","Scenes","","3801","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","33843","0.0-3.0","0","0","Px1eR","Scenes","","4127","","","","61","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","35939","0.0-4.0","0","0","Px1eR","Scenes","","2092","","","","56","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","37542","0.0-5.0","0","0","Px1eR","Scenes","","1601","","","","54","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","40016","0.0-6.0","0","0","Px1eR","Scenes","","2471","","","","38","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","41656","0.0-7.0","0","0","Px1eR","Scenes","","1637","","","","60","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","43501","0.0-8.0","0","0","Px1eR","Scenes","","1841","","","","43","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
