"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1440","fullscreen","0","495513","0.0-0.0","0","0","PzDjg","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","559480","0.0-1.0-0.0","0","0","PzDjg","People","[{""page_index"":0,""viewing_time"":60193},{""page_index"":1,""viewing_time"":3760}]","63954","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","568240","0.0-1.0-1.0","0","0","PzDjg","People","","8750","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","570974","0.0-2.0","0","0","PzDjg","People","","2730","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","578807","0.0-3.0","0","0","PzDjg","People","","7824","","","","","60","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","591238","0.0-4.0","0","0","PzDjg","People","","12427","","","","","82","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","596620","0.0-5.0","0","0","PzDjg","People","","5372","","","","","87","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","600872","0.0-6.0","0","0","PzDjg","People","","4245","","","","","62","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","606451","0.0-7.0","0","0","PzDjg","People","","5571","","","","","98","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","718829","0.0-8.0","0","0","PzDjg","People","","112369","","","","","92","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","723450","0.0-9.0","0","0","PzDjg","People","","4612","","","","","92","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","726448","0.0-10.0","0","0","PzDjg","People","","2993","","","","","85","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","730693","0.0-11.0","0","0","PzDjg","People","","4240","","","","","93","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","736410","0.0-12.0","0","0","PzDjg","People","","5711","","","","","75","44","rikonavt-HQjfrvdTfak-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","740163","0.0-13.0","0","0","PzDjg","People","","3747","","","","","96","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","753923","0.0-14.0","0","0","PzDjg","People","","13754","","","","","91","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","758281","0.0-15.0","0","0","PzDjg","People","","4351","","","","","92","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","763723","0.0-16.0","0","0","PzDjg","People","","5436","","","","","95","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","772084","0.0-17.0","0","0","PzDjg","People","","8354","","","","","90","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
