"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1649","fullscreen","0","17988439","0.0-0.0","0","0","QGgHx","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","17998616","0.0-1.0-0.0","0","0","QGgHx","People","[{""page_index"":0,""viewing_time"":8049},{""page_index"":1,""viewing_time"":2120}]","10170","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","18007606","0.0-1.0-1.0","0","0","QGgHx","People","","8983","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","18036391","0.0-2.0","0","0","QGgHx","People","","28778","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","18040810","0.0-3.0","0","0","QGgHx","People","","4414","","","","","72","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","18045136","0.0-4.0","0","0","QGgHx","People","","4321","","","","","85","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","18049242","0.0-5.0","0","0","QGgHx","People","","4101","","","","","76","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","18052301","0.0-6.0","0","0","QGgHx","People","","3055","","","","","63","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","18056077","0.0-7.0","0","0","QGgHx","People","","3771","","","","","79","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","18059317","0.0-8.0","0","0","QGgHx","People","","3235","","","","","59","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
