"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr1956","fullscreen","0","67589","0.0-0.0","0","0","R8EJS","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","124576","0.0-1.0-0.0","0","0","R8EJS","Scenes","[{""page_index"":0,""viewing_time"":40253},{""page_index"":1,""viewing_time"":5431},{""page_index"":0,""viewing_time"":4015},{""page_index"":1,""viewing_time"":7284}]","56984","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","138652","0.0-1.0-1.0","0","0","R8EJS","Scenes","","14072","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","145869","0.0-2.0","0","0","R8EJS","Scenes","","7213","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","150665","0.0-3.0","0","0","R8EJS","Scenes","","4791","","","","74","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","154059","0.0-4.0","0","0","R8EJS","Scenes","","3391","","","","43","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","158213","0.0-5.0","0","0","R8EJS","Scenes","","4151","","","","78","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","161834","0.0-6.0","0","0","R8EJS","Scenes","","3619","","","","59","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","166947","0.0-7.0","0","0","R8EJS","Scenes","","5111","","","","62","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","171043","0.0-8.0","0","0","R8EJS","Scenes","","4094","","","","79","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","174880","0.0-9.0","0","0","R8EJS","Scenes","","3834","","","","34","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","178664","0.0-10.0","0","0","R8EJS","Scenes","","3782","","","","73","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","182094","0.0-11.0","0","0","R8EJS","Scenes","","3429","","","","58","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","185530","0.0-12.0","0","0","R8EJS","Scenes","","3434","","","","58","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","188430","0.0-13.0","0","0","R8EJS","Scenes","","2897","","","","82","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
