"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1528","fullscreen","0","23525","0.0-0.0","0","0","SAcSz","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","67153","0.0-1.0-0.0","0","0","SAcSz","People","[{""page_index"":0,""viewing_time"":37983},{""page_index"":1,""viewing_time"":5641}]","43625","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","101749","0.0-1.0-1.0","0","0","SAcSz","People","","34592","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","106093","0.0-2.0","0","0","SAcSz","People","","4338","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","113682","0.0-3.0","0","0","SAcSz","People","","7588","","","","","62","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","125887","0.0-4.0","0","0","SAcSz","People","","12196","","","","","67","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","130611","0.0-5.0","0","0","SAcSz","People","","4716","","","","","71","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","135251","0.0-6.0","0","0","SAcSz","People","","4627","","","","","93","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","139515","0.0-7.0","0","0","SAcSz","People","","4261","","","","","68","44","rikonavt-HQjfrvdTfak-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","143531","0.0-8.0","0","0","SAcSz","People","","4013","","","","","70","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
