"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1359","fullscreen","0","9008","0.0-0.0","0","0","SZfNj","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","15744","0.0-1.0-0.0","0","0","SZfNj","People","[{""page_index"":0,""viewing_time"":4766},{""page_index"":1,""viewing_time"":1964}]","6731","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","20074","0.0-1.0-1.0","0","0","SZfNj","People","","4325","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","22153","0.0-2.0","0","0","SZfNj","People","","2073","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","25330","0.0-3.0","0","0","SZfNj","People","","3173","","","","","40","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","27482","0.0-4.0","0","0","SZfNj","People","","2148","","","","","59","24","joel-mott-LaK153ghdig-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","29273","0.0-5.0","0","0","SZfNj","People","","1788","","","","","67","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","31301","0.0-6.0","0","0","SZfNj","People","","2025","","","","","40","44","rikonavt-HQjfrvdTfak-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","33358","0.0-7.0","0","0","SZfNj","People","","2054","","","","","34","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","35352","0.0-8.0","0","0","SZfNj","People","","1990","","","","","46","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","38055","0.0-9.0","0","0","SZfNj","People","","2700","","","","","53","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","40397","0.0-10.0","0","0","SZfNj","People","","2338","","","","","34","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
