"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2049","fullscreen","0","12740","0.0-0.0","0","0","SfzKV","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","580462","0.0-1.0-0.0","0","0","SfzKV","Scenes","[{""page_index"":0,""viewing_time"":564222},{""page_index"":1,""viewing_time"":3496}]","567719","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","585749","0.0-1.0-1.0","0","0","SfzKV","Scenes","","5281","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","592279","0.0-2.0","0","0","SfzKV","Scenes","","6523","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","603335","0.0-3.0","0","0","SfzKV","Scenes","","11052","","","","80","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","606827","0.0-4.0","0","0","SfzKV","Scenes","","3488","","","","98","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","611386","0.0-5.0","0","0","SfzKV","Scenes","","4557","","","","71","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","615170","0.0-6.0","0","0","SfzKV","Scenes","","3781","","","","82","132","meng-ji-8BH_M-53CyA-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","619978","0.0-7.0","0","0","SfzKV","Scenes","","4805","","","","70","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","623794","0.0-8.0","0","0","SfzKV","Scenes","","3813","","","","67","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","628762","0.0-9.0","0","0","SfzKV","Scenes","","4965","","","","98","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","633522","0.0-10.0","0","0","SfzKV","Scenes","","4756","","","","68","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","636959","0.0-11.0","0","0","SfzKV","Scenes","","3435","","","","93","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","644143","0.0-12.0","0","0","SfzKV","Scenes","","7182","","","","41","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","649903","0.0-13.0","0","0","SfzKV","Scenes","","5757","","","","44","139","samsommer-vddccTqwal8-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","654186","0.0-14.0","0","0","SfzKV","Scenes","","4280","","","","50","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","658790","0.0-15.0","0","0","SfzKV","Scenes","","4602","","","","24","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","664366","0.0-16.0","0","0","SfzKV","Scenes","","5573","","","","68","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
