"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2040","fullscreen","0","4838","0.0-0.0","0","0","UR7JL","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","19442","0.0-1.0-0.0","0","0","UR7JL","Scenes","[{""page_index"":0,""viewing_time"":9566},{""page_index"":1,""viewing_time"":5030}]","14598","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","30067","0.0-1.0-1.0","0","0","UR7JL","Scenes","","10621","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","33566","0.0-2.0","0","0","UR7JL","Scenes","","3496","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","37314","0.0-3.0","0","0","UR7JL","Scenes","","3745","","","","71","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","41187","0.0-4.0","0","0","UR7JL","Scenes","","3868","","","","93","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","45517","0.0-5.0","0","0","UR7JL","Scenes","","4330","","","","95","113","damian-denis-D8R_txR_0PE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","49287","0.0-6.0","0","0","UR7JL","Scenes","","3768","","","","91","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","52671","0.0-7.0","0","0","UR7JL","Scenes","","3382","","","","72","125","john-lee-oMneOBYhJxY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","58519","0.0-8.0","0","0","UR7JL","Scenes","","5846","","","","83","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","63005","0.0-9.0","0","0","UR7JL","Scenes","","4484","","","","87","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","67315","0.0-10.0","0","0","UR7JL","Scenes","","4308","","","","89","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","75129","0.0-11.0","0","0","UR7JL","Scenes","","7813","","","","55","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","79829","0.0-12.0","0","0","UR7JL","Scenes","","4697","","","","76","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","82665","0.0-13.0","0","0","UR7JL","Scenes","","2834","","","","66","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
