"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2035","fullscreen","0","15752","0.0-0.0","0","0","WHNCb","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","27579","0.0-1.0-0.0","0","0","WHNCb","Scenes","[{""page_index"":0,""viewing_time"":8369},{""page_index"":1,""viewing_time"":3454}]","11825","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","35828","0.0-1.0-1.0","0","0","WHNCb","Scenes","","8242","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","41709","0.0-2.0","0","0","WHNCb","Scenes","","5876","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","45980","0.0-3.0","0","0","WHNCb","Scenes","","4266","","","","77","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","49531","0.0-4.0","0","0","WHNCb","Scenes","","3547","","","","99","125","john-lee-oMneOBYhJxY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","53239","0.0-5.0","0","0","WHNCb","Scenes","","3704","","","","67","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","55325","0.0-6.0","0","0","WHNCb","Scenes","","2082","","","","66","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","58199","0.0-7.0","0","0","WHNCb","Scenes","","2870","","","","67","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","60811","0.0-8.0","0","0","WHNCb","Scenes","","2608","","","","58","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
