"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1353","fullscreen","0","24556","0.0-0.0","0","0","WIgBv","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","87911","0.0-1.0-0.0","0","0","WIgBv","People","[{""page_index"":0,""viewing_time"":55837},{""page_index"":1,""viewing_time"":7491}]","63331","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","113341","0.0-1.0-1.0","0","0","WIgBv","People","","25418","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","133388","0.0-2.0","0","0","WIgBv","People","","20038","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","142136","0.0-3.0","0","0","WIgBv","People","","8738","","","","","83","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","146837","0.0-4.0","0","0","WIgBv","People","","4694","","","","","87","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","152515","0.0-5.0","0","0","WIgBv","People","","5671","","","","","45","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","157279","0.0-6.0","0","0","WIgBv","People","","4758","","","","","59","44","rikonavt-HQjfrvdTfak-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","161255","0.0-7.0","0","0","WIgBv","People","","3966","","","","","66","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","165220","0.0-8.0","0","0","WIgBv","People","","3951","","","","","67","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","172409","0.0-9.0","0","0","WIgBv","People","","7181","","","","","90","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","179404","0.0-10.0","0","0","WIgBv","People","","6988","","","","","91","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","182703","0.0-11.0","0","0","WIgBv","People","","3291","","","","","91","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","186515","0.0-12.0","0","0","WIgBv","People","","3805","","","","","89","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","192373","0.0-13.0","0","0","WIgBv","People","","5850","","","","","97","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","201177","0.0-14.0","0","0","WIgBv","People","","8793","","","","","93","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","204155","0.0-15.0","0","0","WIgBv","People","","2971","","","","","99","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","207861","0.0-16.0","0","0","WIgBv","People","","3700","","","","","97","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","212762","0.0-17.0","0","0","WIgBv","People","","4896","","","","","100","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","216450","0.0-18.0","0","0","WIgBv","People","","3680","","","","","96","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","219980","0.0-19.0","0","0","WIgBv","People","","3523","","","","","98","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","223517","0.0-20.0","0","0","WIgBv","People","","3531","","","","","96","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","234041","0.0-21.0","0","0","WIgBv","People","","10513","","","","","69","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","239283","0.0-22.0","0","0","WIgBv","People","","5235","","","","","69","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","245118","0.0-23.0","0","0","WIgBv","People","","5827","","","","","97","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","249401","0.0-24.0","0","0","WIgBv","People","","4274","","","","","98","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","253365","0.0-25.0","0","0","WIgBv","People","","3958","","","","","95","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","258946","0.0-26.0","0","0","WIgBv","People","","5572","","","","","96","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","263122","0.0-27.0","0","0","WIgBv","People","","4167","","","","","94","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","266309","0.0-28.0","0","0","WIgBv","People","","3180","","","","","92","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","270072","0.0-29.0","0","0","WIgBv","People","","3754","","","","","70","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","274424","0.0-30.0","0","0","WIgBv","People","","4345","","","","","93","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","278256","0.0-31.0","0","0","WIgBv","People","","3824","","","","","93","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","280583","0.0-32.0","0","0","WIgBv","People","","2319","","","","","90","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","282796","0.0-33.0","0","0","WIgBv","People","","2205","","","","","88","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","288058","0.0-34.0","0","0","WIgBv","People","","5254","","","","","88","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
