"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1921","fullscreen","0","156075","0.0-0.0","0","0","WJ2Nv","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","162006","0.0-1.0-0.0","0","0","WJ2Nv","People","[{""page_index"":0,""viewing_time"":4702},{""page_index"":1,""viewing_time"":1226}]","5929","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","167158","0.0-1.0-1.0","0","0","WJ2Nv","People","","5150","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","168771","0.0-2.0","0","0","WJ2Nv","People","","1612","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","171248","0.0-3.0","0","0","WJ2Nv","People","","2475","","","","","74","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","174232","0.0-4.0","0","0","WJ2Nv","People","","2982","","","","","83","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","178061","0.0-5.0","0","0","WJ2Nv","People","","3827","","","","","61","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","179910","0.0-6.0","0","0","WJ2Nv","People","","1847","","","","","68","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","182124","0.0-7.0","0","0","WJ2Nv","People","","2213","","","","","53","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","184124","0.0-8.0","0","0","WJ2Nv","People","","1999","","","","","59","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","186761","0.0-9.0","0","0","WJ2Nv","People","","2636","","","","","43","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
