"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1619","fullscreen","0","3493","0.0-0.0","0","0","Xcmcr","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","12840","0.0-1.0-0.0","0","0","Xcmcr","People","[{""page_index"":0,""viewing_time"":6692},{""page_index"":1,""viewing_time"":2643}]","9336","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","25745","0.0-1.0-1.0","0","0","Xcmcr","People","","12893","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","29211","0.0-2.0","0","0","Xcmcr","People","","3457","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","34528","0.0-3.0","0","0","Xcmcr","People","","5292","","","","","75","24","joel-mott-LaK153ghdig-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","40363","0.0-4.0","0","0","Xcmcr","People","","5798","","","","","23","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","45181","0.0-5.0","0","0","Xcmcr","People","","4813","","","","","0","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","60883","0.0-6.0","0","0","Xcmcr","People","","15695","","","","","92","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","65147","0.0-7.0","0","0","Xcmcr","People","","4245","","","","","88","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","68368","0.0-8.0","0","0","Xcmcr","People","","3212","","","","","96","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","71125","0.0-9.0","0","0","Xcmcr","People","","2748","","","","","24","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","74442","0.0-10.0","0","0","Xcmcr","People","","3312","","","","","91","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","77705","0.0-11.0","0","0","Xcmcr","People","","3255","","","","","76","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","80724","0.0-12.0","0","0","Xcmcr","People","","3012","","","","","19","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","83483","0.0-13.0","0","0","Xcmcr","People","","2753","","","","","87","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","87184","0.0-14.0","0","0","Xcmcr","People","","3693","","","","","73","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","90643","0.0-15.0","0","0","Xcmcr","People","","3451","","","","","90","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
