"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1453","fullscreen","0","1691088","0.0-0.0","0","0","Y1QFI","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","1694744","0.0-1.0-0.0","0","0","Y1QFI","People","[{""page_index"":0,""viewing_time"":2177},{""page_index"":1,""viewing_time"":1475}]","3653","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","1701384","0.0-1.0-1.0","0","0","Y1QFI","People","","6633","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","1703408","0.0-2.0","0","0","Y1QFI","People","","2019","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","1707606","0.0-3.0","0","0","Y1QFI","People","","4195","","","","","62","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","1710615","0.0-4.0","0","0","Y1QFI","People","","3005","","","","","65","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","1714457","0.0-5.0","0","0","Y1QFI","People","","3838","","","","","42","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","1718248","0.0-6.0","0","0","Y1QFI","People","","3789","","","","","56","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","1721639","0.0-7.0","0","0","Y1QFI","People","","3389","","","","","72","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","1724857","0.0-8.0","0","0","Y1QFI","People","","3216","","","","","38","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","1729321","0.0-9.0","0","0","Y1QFI","People","","4461","","","","","44","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","1732698","0.0-10.0","0","0","Y1QFI","People","","3373","","","","","23","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
