"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2048","fullscreen","0","12811","0.0-0.0","0","0","YHZzx","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","22875","0.0-1.0-0.0","0","0","YHZzx","Scenes","[{""page_index"":0,""viewing_time"":8065},{""page_index"":1,""viewing_time"":1998}]","10063","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","28971","0.0-1.0-1.0","0","0","YHZzx","Scenes","","6094","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","31050","0.0-2.0","0","0","YHZzx","Scenes","","2077","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","34033","0.0-3.0","0","0","YHZzx","Scenes","","2982","","","","100","130","lina-loos-04-C1NZk1hE-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","37024","0.0-4.0","0","0","YHZzx","Scenes","","2990","","","","82","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","39256","0.0-5.0","0","0","YHZzx","Scenes","","2232","","","","100","118","henry-be-NLF6hTe4PAg-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","41894","0.0-6.0","0","0","YHZzx","Scenes","","2637","","","","70","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","43989","0.0-7.0","0","0","YHZzx","Scenes","","2093","","","","100","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","46062","0.0-8.0","0","0","YHZzx","Scenes","","2073","","","","100","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
