"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1644","fullscreen","0","118207","0.0-0.0","0","0","YJmUD","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","174418","0.0-1.0-0.0","0","0","YJmUD","People","[{""page_index"":0,""viewing_time"":54297},{""page_index"":1,""viewing_time"":1910}]","56208","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","180187","0.0-1.0-1.0","0","0","YJmUD","People","","5754","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","181617","0.0-2.0","0","0","YJmUD","People","","1419","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","186275","0.0-3.0","0","0","YJmUD","People","","4653","","","","","100","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","190621","0.0-4.0","0","0","YJmUD","People","","4338","","","","","11","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","194753","0.0-5.0","0","0","YJmUD","People","","4125","","","","","77","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","200172","0.0-6.0","0","0","YJmUD","People","","5416","","","","","9","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","203132","0.0-7.0","0","0","YJmUD","People","","2954","","","","","54","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","210074","0.0-8.0","0","0","YJmUD","People","","6937","","","","","36","24","joel-mott-LaK153ghdig-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","216921","0.0-9.0","0","0","YJmUD","People","","6843","","","","","36","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","221844","0.0-10.0","0","0","YJmUD","People","","4920","","","","","56","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","233092","0.0-11.0","0","0","YJmUD","People","","11242","","","","","79","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","240068","0.0-12.0","0","0","YJmUD","People","","6969","","","","","86","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
