"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2043","fullscreen","0","83300","0.0-0.0","0","0","YrnLv","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","128205","0.0-1.0-0.0","0","0","YrnLv","Scenes","[{""page_index"":0,""viewing_time"":41742},{""page_index"":1,""viewing_time"":3161}]","44903","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","139459","0.0-1.0-1.0","0","0","YrnLv","Scenes","","11251","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","144059","0.0-2.0","0","0","YrnLv","Scenes","","4596","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","147833","0.0-3.0","0","0","YrnLv","Scenes","","3772","","","","23","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","150521","0.0-4.0","0","0","YrnLv","Scenes","","2685","","","","81","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","153407","0.0-5.0","0","0","YrnLv","Scenes","","2884","","","","99","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","156080","0.0-6.0","0","0","YrnLv","Scenes","","2672","","","","91","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","158778","0.0-7.0","0","0","YrnLv","Scenes","","2695","","","","84","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","166751","0.0-8.0","0","0","YrnLv","Scenes","","7971","","","","64","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
