"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1407","fullscreen","0","42852","0.0-0.0","0","0","aDc5y","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","51684","0.0-1.0-0.0","0","0","aDc5y","People","[{""page_index"":0,""viewing_time"":7128},{""page_index"":1,""viewing_time"":1700}]","8829","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","58387","0.0-1.0-1.0","0","0","aDc5y","People","","6699","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","60435","0.0-2.0","0","0","aDc5y","People","","2044","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","66531","0.0-3.0","0","0","aDc5y","People","","6092","","","","","17","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","70682","0.0-4.0","0","0","aDc5y","People","","4147","","","","","74","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","75216","0.0-5.0","0","0","aDc5y","People","","4531","","","","","100","24","joel-mott-LaK153ghdig-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","80273","0.0-6.0","0","0","aDc5y","People","","5054","","","","","64","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","85458","0.0-7.0","0","0","aDc5y","People","","5181","","","","","89","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","90226","0.0-8.0","0","0","aDc5y","People","","4764","","","","","95","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","94978","0.0-9.0","0","0","aDc5y","People","","4749","","","","","20","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","100402","0.0-10.0","0","0","aDc5y","People","","5422","","","","","68","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","105579","0.0-11.0","0","0","aDc5y","People","","5175","","","","","100","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","110774","0.0-12.0","0","0","aDc5y","People","","5192","","","","","74","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","117650","0.0-13.0","0","0","aDc5y","People","","6873","","","","","37","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","142713","0.0-14.0","0","0","aDc5y","People","","25060","","","","","28","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","149528","0.0-15.0","0","0","aDc5y","People","","6812","","","","","100","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","153770","0.0-16.0","0","0","aDc5y","People","","4238","","","","","76","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","159016","0.0-17.0","0","0","aDc5y","People","","5244","","","","","92","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","163230","0.0-18.0","0","0","aDc5y","People","","4210","","","","","100","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","167601","0.0-19.0","0","0","aDc5y","People","","4367","","","","","31","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","173807","0.0-20.0","0","0","aDc5y","People","","6204","","","","","78","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","179302","0.0-21.0","0","0","aDc5y","People","","5491","","","","","87","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","184247","0.0-22.0","0","0","aDc5y","People","","4939","","","","","96","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","191190","0.0-23.0","0","0","aDc5y","People","","6941","","","","","75","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","197343","0.0-24.0","0","0","aDc5y","People","","6149","","","","","75","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","202031","0.0-25.0","0","0","aDc5y","People","","4686","","","","","71","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","206670","0.0-26.0","0","0","aDc5y","People","","4636","","","","","65","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","210711","0.0-27.0","0","0","aDc5y","People","","4038","","","","","84","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","215430","0.0-28.0","0","0","aDc5y","People","","4716","","","","","74","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","219405","0.0-29.0","0","0","aDc5y","People","","3972","","","","","72","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","223897","0.0-30.0","0","0","aDc5y","People","","4488","","","","","58","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","228998","0.0-31.0","0","0","aDc5y","People","","5098","","","","","84","44","rikonavt-HQjfrvdTfak-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","233284","0.0-32.0","0","0","aDc5y","People","","4280","","","","","100","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","237814","0.0-33.0","0","0","aDc5y","People","","4527","","","","","63","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","245101","0.0-34.0","0","0","aDc5y","People","","7285","","","","","1","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","249878","0.0-35.0","0","0","aDc5y","People","","4773","","","","","33","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","254573","0.0-36.0","0","0","aDc5y","People","","4693","","","","","73","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","258782","0.0-37.0","0","0","aDc5y","People","","4205","","","","","52","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","263317","0.0-38.0","0","0","aDc5y","People","","4533","","","","","82","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","268302","0.0-39.0","0","0","aDc5y","People","","4981","","","","","100","18","good-faces-xmSWVeGEnJw-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","274093","0.0-40.0","0","0","aDc5y","People","","5788","","","","","86","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","282125","0.0-41.0","0","0","aDc5y","People","","8030","","","","","34","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","287845","0.0-42.0","0","0","aDc5y","People","","5717","","","","","58","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","292565","0.0-43.0","0","0","aDc5y","People","","4717","","","","","38","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","297925","0.0-44.0","0","0","aDc5y","People","","5358","","","","","71","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","302501","0.0-45.0","0","0","aDc5y","People","","4572","","","","","26","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","308691","0.0-46.0","0","0","aDc5y","People","","6187","","","","","24","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","314557","0.0-47.0","0","0","aDc5y","People","","5862","","","","","100","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","49","317949","0.0-48.0","0","0","aDc5y","People","","3389","","","","","83","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","45","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","50","321251","0.0-49.0","0","0","aDc5y","People","","3300","","","","","16","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","46","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","51","323852","0.0-50.0","0","0","aDc5y","People","","2597","","","","","94","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","47","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","52","326676","0.0-51.0","0","0","aDc5y","People","","2821","","","","","85","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","48","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","53","329515","0.0-52.0","0","0","aDc5y","People","","2837","","","","","78","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","49","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation_instructions","","instructions","54","2787582","0.0-53.0-0.0","0","0","aDc5y","People","[{""page_index"":0,""viewing_time"":113041},{""page_index"":1,""viewing_time"":7984},{""page_index"":2,""viewing_time"":31071},{""page_index"":3,""viewing_time"":2438},{""page_index"":2,""viewing_time"":14993},{""page_index"":3,""viewing_time"":2286662},{""page_index"":4,""viewing_time"":1872}]","2458062","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","55","2803189","0.0-53.0-1.0","0","0","aDc5y","People","","15600","{""Q0"":""True"",""Q1"":""True"",""Q2"":""Consider carefully and take your time (up to 10 seconds)"",""Q3"":""True"",""Q4"":""D""}","deliberation_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","56","2804990","0.0-54.0","0","0","aDc5y","People","","1796","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","first_deliberation_block","","html-keyboard-response","57","2809767","0.0-55.0","0","0","aDc5y","People","","4773","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","58","2810772","0.0-56.0-0.0","0","0","aDc5y","People","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","59","2813717","0.0-56.0-1.0","0","0","aDc5y","People","","2942","","","","75","","","","0","27","29","0","1","58","86","jurica-koletic-7YVZYZeITc8-unsplash.jpg","leilani-angel-K84vnnzxmTQ-unsplash.jpg","1","0","29","27","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","60","2814220","0.0-56.0-2.0-0.0","0","0","aDc5y","People","","null","","","","null","","","","0","27","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","61","2815229","0.0-57.0-0.0","0","0","aDc5y","People","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","deliberation","","html-keyboard-response","62","2817253","0.0-57.0-1.0","0","0","aDc5y","People","","2022","","","","68","","","","1","4","9","0","1","74","74","barna-bartis-2x3vfVxwR7o-unsplash.jpg","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","1","1","4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","choice_confirmation","","html-keyboard-response","63","2817757","0.0-57.0-2.0-0.0","0","0","aDc5y","People","","null","","","","null","","","","1","4","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","fixation","","html-keyboard-response","64","2818764","0.0-58.0-0.0","0","0","aDc5y","People","","null","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
