"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2059","fullscreen","0","5537","0.0-0.0","0","0","atBkS","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","26528","0.0-1.0-0.0","0","0","atBkS","Scenes","[{""page_index"":0,""viewing_time"":18802},{""page_index"":1,""viewing_time"":2185}]","20988","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","179532","0.0-1.0-1.0","0","0","atBkS","Scenes","","153000","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","181672","0.0-2.0","0","0","atBkS","Scenes","","2134","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","184907","0.0-3.0","0","0","atBkS","Scenes","","3230","","","","100","118","henry-be-NLF6hTe4PAg-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","189363","0.0-4.0","0","0","atBkS","Scenes","","4454","","","","100","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","192235","0.0-5.0","0","0","atBkS","Scenes","","2869","","","","100","132","meng-ji-8BH_M-53CyA-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","194312","0.0-6.0","0","0","atBkS","Scenes","","2075","","","","100","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","197232","0.0-7.0","0","0","atBkS","Scenes","","2918","","","","100","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","201054","0.0-8.0","0","0","atBkS","Scenes","","3820","","","","100","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","204770","0.0-9.0","0","0","atBkS","Scenes","","3714","","","","100","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","207230","0.0-10.0","0","0","atBkS","Scenes","","2458","","","","100","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","210274","0.0-11.0","0","0","atBkS","Scenes","","3042","","","","100","113","damian-denis-D8R_txR_0PE-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","213680","0.0-12.0","0","0","atBkS","Scenes","","3404","","","","100","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","216780","0.0-13.0","0","0","atBkS","Scenes","","3098","","","","100","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","219544","0.0-14.0","0","0","atBkS","Scenes","","2762","","","","100","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","222412","0.0-15.0","0","0","atBkS","Scenes","","2866","","","","100","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","224854","0.0-16.0","0","0","atBkS","Scenes","","2440","","","","100","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","227234","0.0-17.0","0","0","atBkS","Scenes","","2378","","","","100","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","229702","0.0-18.0","0","0","atBkS","Scenes","","2467","","","","100","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","231784","0.0-19.0","0","0","atBkS","Scenes","","2080","","","","100","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","234012","0.0-20.0","0","0","atBkS","Scenes","","2227","","","","100","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","236191","0.0-21.0","0","0","atBkS","Scenes","","2177","","","","100","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","239041","0.0-22.0","0","0","atBkS","Scenes","","2848","","","","100","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","240981","0.0-23.0","0","0","atBkS","Scenes","","1938","","","","100","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","242883","0.0-24.0","0","0","atBkS","Scenes","","1900","","","","100","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","244689","0.0-25.0","0","0","atBkS","Scenes","","1804","","","","100","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","246435","0.0-26.0","0","0","atBkS","Scenes","","1744","","","","100","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","248339","0.0-27.0","0","0","atBkS","Scenes","","1902","","","","100","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","250281","0.0-28.0","0","0","atBkS","Scenes","","1940","","","","100","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","251875","0.0-29.0","0","0","atBkS","Scenes","","1592","","","","100","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","253501","0.0-30.0","0","0","atBkS","Scenes","","1624","","","","100","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","255337","0.0-31.0","0","0","atBkS","Scenes","","1835","","","","100","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","257135","0.0-32.0","0","0","atBkS","Scenes","","1797","","","","100","125","john-lee-oMneOBYhJxY-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","259009","0.0-33.0","0","0","atBkS","Scenes","","1873","","","","100","130","lina-loos-04-C1NZk1hE-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","260883","0.0-34.0","0","0","atBkS","Scenes","","1872","","","","100","139","samsommer-vddccTqwal8-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","262939","0.0-35.0","0","0","atBkS","Scenes","","2054","","","","100","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","265967","0.0-36.0","0","0","atBkS","Scenes","","3026","","","","100","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","268065","0.0-37.0","0","0","atBkS","Scenes","","2096","","","","100","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","269996","0.0-38.0","0","0","atBkS","Scenes","","1929","","","","100","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","272103","0.0-39.0","0","0","atBkS","Scenes","","2105","","","","100","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","274076","0.0-40.0","0","0","atBkS","Scenes","","1969","","","","100","103","anton-darius-FBJugtbHsWU-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","276044","0.0-41.0","0","0","atBkS","Scenes","","1966","","","","100","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","277894","0.0-42.0","0","0","atBkS","Scenes","","1848","","","","100","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","279946","0.0-43.0","0","0","atBkS","Scenes","","2050","","","","100","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","45","281660","0.0-44.0","0","0","atBkS","Scenes","","1712","","","","100","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","41","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","46","283566","0.0-45.0","0","0","atBkS","Scenes","","1904","","","","100","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","47","285378","0.0-46.0","0","0","atBkS","Scenes","","1810","","","","100","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","43","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","48","287152","0.0-47.0","0","0","atBkS","Scenes","","1772","","","","100","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
