"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2037","fullscreen","0","24077","0.0-0.0","0","0","bQees","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","35984","0.0-1.0-0.0","0","0","bQees","Scenes","[{""page_index"":0,""viewing_time"":9179},{""page_index"":1,""viewing_time"":2726}]","11906","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","44297","0.0-1.0-1.0","0","0","bQees","Scenes","","8310","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","46706","0.0-2.0","0","0","bQees","Scenes","","2408","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","51438","0.0-3.0","0","0","bQees","Scenes","","4731","","","","60","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","57165","0.0-4.0","0","0","bQees","Scenes","","5726","","","","73","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","61416","0.0-5.0","0","0","bQees","Scenes","","4249","","","","88","130","lina-loos-04-C1NZk1hE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","64936","0.0-6.0","0","0","bQees","Scenes","","3518","","","","26","132","meng-ji-8BH_M-53CyA-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","68641","0.0-7.0","0","0","bQees","Scenes","","3705","","","","68","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","73733","0.0-8.0","0","0","bQees","Scenes","","5090","","","","99","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
