"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2206","fullscreen","0","63437","0.0-0.0","0","0","bvEXR","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","71295","0.0-1.0-0.0","0","0","bvEXR","Scenes","[{""page_index"":0,""viewing_time"":5547},{""page_index"":1,""viewing_time"":2308}]","7856","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","76136","0.0-1.0-1.0","0","0","bvEXR","Scenes","","4838","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","77877","0.0-2.0","0","0","bvEXR","Scenes","","1738","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","81369","0.0-3.0","0","0","bvEXR","Scenes","","3490","","","","81","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","83828","0.0-4.0","0","0","bvEXR","Scenes","","2457","","","","82","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","86065","0.0-5.0","0","0","bvEXR","Scenes","","2236","","","","84","103","anton-darius-FBJugtbHsWU-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","88276","0.0-6.0","0","0","bvEXR","Scenes","","2209","","","","71","139","samsommer-vddccTqwal8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","90424","0.0-7.0","0","0","bvEXR","Scenes","","2146","","","","43","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","93293","0.0-8.0","0","0","bvEXR","Scenes","","2867","","","","85","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
