"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1357","fullscreen","0","32508","0.0-0.0","0","0","c2yi6","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","44296","0.0-1.0-0.0","0","0","c2yi6","People","[{""page_index"":0,""viewing_time"":8388},{""page_index"":1,""viewing_time"":3393}]","11783","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","52255","0.0-1.0-1.0","0","0","c2yi6","People","","7948","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","56720","0.0-2.0","0","0","c2yi6","People","","4452","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","64665","0.0-3.0","0","0","c2yi6","People","","7940","","","","","30","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","70972","0.0-4.0","0","0","c2yi6","People","","6302","","","","","77","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","76572","0.0-5.0","0","0","c2yi6","People","","5595","","","","","19","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","80027","0.0-6.0","0","0","c2yi6","People","","3449","","","","","65","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","83733","0.0-7.0","0","0","c2yi6","People","","3701","","","","","85","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","90405","0.0-8.0","0","0","c2yi6","People","","6667","","","","","82","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
