"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1352","fullscreen","0","4108","0.0-0.0","0","0","dhc9M","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","7928","0.0-1.0-0.0","0","0","dhc9M","People","[{""page_index"":0,""viewing_time"":2241},{""page_index"":1,""viewing_time"":1570}]","3814","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","13978","0.0-1.0-1.0","0","0","dhc9M","People","","6038","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","16672","0.0-2.0","0","0","dhc9M","People","","2687","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","21069","0.0-3.0","0","0","dhc9M","People","","4388","","","","","80","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","21373","0.0-4.0","0","0","dhc9M","People","","295","","","","","50","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","24334","0.0-5.0","0","0","dhc9M","People","","2952","","","","","26","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","27529","0.0-6.0","0","0","dhc9M","People","","3185","","","","","86","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","30745","0.0-7.0","0","0","dhc9M","People","","3206","","","","","19","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","34072","0.0-8.0","0","0","dhc9M","People","","3318","","","","","70","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","39930","0.0-9.0","0","0","dhc9M","People","","5852","","","","","20","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","43024","0.0-10.0","0","0","dhc9M","People","","3084","","","","","75","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","45589","0.0-11.0","0","0","dhc9M","People","","2556","","","","","19","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","48506","0.0-12.0","0","0","dhc9M","People","","2911","","","","","93","18","good-faces-xmSWVeGEnJw-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","50866","0.0-13.0","0","0","dhc9M","People","","2353","","","","","24","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","53120","0.0-14.0","0","0","dhc9M","People","","2245","","","","","76","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","55188","0.0-15.0","0","0","dhc9M","People","","2063","","","","","19","44","rikonavt-HQjfrvdTfak-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","57719","0.0-16.0","0","0","dhc9M","People","","2524","","","","","77","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","60185","0.0-17.0","0","0","dhc9M","People","","2461","","","","","27","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","60516","0.0-18.0","0","0","dhc9M","People","","326","","","","","50","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","63351","0.0-19.0","0","0","dhc9M","People","","2829","","","","","76","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","65854","0.0-20.0","0","0","dhc9M","People","","2497","","","","","21","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","68215","0.0-21.0","0","0","dhc9M","People","","2351","","","","","78","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","71135","0.0-22.0","0","0","dhc9M","People","","2911","","","","","23","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","77620","0.0-23.0","0","0","dhc9M","People","","6473","","","","","32","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","80638","0.0-24.0","0","0","dhc9M","People","","3009","","","","","29","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","83435","0.0-25.0","0","0","dhc9M","People","","2791","","","","","77","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","85896","0.0-26.0","0","0","dhc9M","People","","2452","","","","","89","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","88260","0.0-27.0","0","0","dhc9M","People","","2356","","","","","24","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","90740","0.0-28.0","0","0","dhc9M","People","","2475","","","","","63","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","92678","0.0-29.0","0","0","dhc9M","People","","1931","","","","","24","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","95102","0.0-30.0","0","0","dhc9M","People","","2416","","","","","75","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","100988","0.0-31.0","0","0","dhc9M","People","","5875","","","","","73","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","103658","0.0-32.0","0","0","dhc9M","People","","2663","","","","","23","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","106782","0.0-33.0","0","0","dhc9M","People","","3115","","","","","75","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","109267","0.0-34.0","0","0","dhc9M","People","","2480","","","","","18","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","111669","0.0-35.0","0","0","dhc9M","People","","2397","","","","","72","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","113642","0.0-36.0","0","0","dhc9M","People","","1968","","","","","24","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","116280","0.0-37.0","0","0","dhc9M","People","","2632","","","","","79","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","126769","0.0-38.0","0","0","dhc9M","People","","10478","","","","","61","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","130037","0.0-39.0","0","0","dhc9M","People","","3257","","","","","15","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","135376","0.0-40.0","0","0","dhc9M","People","","5331","","","","","73","24","joel-mott-LaK153ghdig-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","137875","0.0-41.0","0","0","dhc9M","People","","2493","","","","","19","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","140046","0.0-42.0","0","0","dhc9M","People","","2164","","","","","76","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
