"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1735","fullscreen","0","64315","0.0-0.0","0","0","l0I2Q","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","84978","0.0-1.0-0.0","0","0","l0I2Q","People","[{""page_index"":0,""viewing_time"":14379},{""page_index"":1,""viewing_time"":6280}]","20660","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","94714","0.0-1.0-1.0","0","0","l0I2Q","People","","9731","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","97889","0.0-2.0","0","0","l0I2Q","People","","3172","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","112345","0.0-3.0","0","0","l0I2Q","People","","14453","","","","","72","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","121971","0.0-4.0","0","0","l0I2Q","People","","9623","","","","","89","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","131278","0.0-5.0","0","0","l0I2Q","People","","9303","","","","","87","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","142537","0.0-6.0","0","0","l0I2Q","People","","11256","","","","","70","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","152254","0.0-7.0","0","0","l0I2Q","People","","9715","","","","","89","31","mathilda-khoo-vLR0YP_otCo-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","160057","0.0-8.0","0","0","l0I2Q","People","","7800","","","","","99","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","169487","0.0-9.0","0","0","l0I2Q","People","","9428","","","","","21","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","177641","0.0-10.0","0","0","l0I2Q","People","","8151","","","","","65","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","185265","0.0-11.0","0","0","l0I2Q","People","","7621","","","","","57","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
