"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0102","fullscreen","0","86631","0.0-0.0","0","0","ldc6S","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","106455","0.0-1.0-0.0","0","0","ldc6S","Scenes","[{""page_index"":0,""viewing_time"":17342},{""page_index"":1,""viewing_time"":2480}]","19823","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","112349","0.0-1.0-1.0","0","0","ldc6S","Scenes","","5890","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","267169","0.0-2.0","0","0","ldc6S","Scenes","","154817","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","270598","0.0-3.0","0","0","ldc6S","Scenes","","3427","","","","70","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","275976","0.0-4.0","0","0","ldc6S","Scenes","","5376","","","","58","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","281570","0.0-5.0","0","0","ldc6S","Scenes","","5592","","","","69","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","287332","0.0-6.0","0","0","ldc6S","Scenes","","5762","","","","67","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","289631","0.0-7.0","0","0","ldc6S","Scenes","","2298","","","","58","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","292176","0.0-8.0","0","0","ldc6S","Scenes","","2544","","","","57","103","anton-darius-FBJugtbHsWU-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","300796","0.0-9.0","0","0","ldc6S","Scenes","","8618","","","","75","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","303270","0.0-10.0","0","0","ldc6S","Scenes","","2472","","","","55","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","308914","0.0-11.0","0","0","ldc6S","Scenes","","5644","","","","53","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","313942","0.0-12.0","0","0","ldc6S","Scenes","","5026","","","","54","107","benjamin-davies-Zm2n2O7Fph4-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","316732","0.0-13.0","0","0","ldc6S","Scenes","","2787","","","","54","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","319307","0.0-14.0","0","0","ldc6S","Scenes","","2573","","","","75","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","321781","0.0-15.0","0","0","ldc6S","Scenes","","2473","","","","75","125","john-lee-oMneOBYhJxY-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","333199","0.0-16.0","0","0","ldc6S","Scenes","","11416","","","","61","132","meng-ji-8BH_M-53CyA-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","337843","0.0-17.0","0","0","ldc6S","Scenes","","4642","","","","70","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","340329","0.0-18.0","0","0","ldc6S","Scenes","","2484","","","","60","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","344331","0.0-19.0","0","0","ldc6S","Scenes","","4000","","","","60","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","355499","0.0-20.0","0","0","ldc6S","Scenes","","11167","","","","67","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","373223","0.0-21.0","0","0","ldc6S","Scenes","","17721","","","","75","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","375636","0.0-22.0","0","0","ldc6S","Scenes","","2411","","","","62","139","samsommer-vddccTqwal8-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","379621","0.0-23.0","0","0","ldc6S","Scenes","","3983","","","","68","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
