"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1409","fullscreen","0","36201","0.0-0.0","0","0","mBvvp","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","60305","0.0-1.0-0.0","0","0","mBvvp","People","[{""page_index"":0,""viewing_time"":12515},{""page_index"":1,""viewing_time"":6128},{""page_index"":0,""viewing_time"":4064},{""page_index"":1,""viewing_time"":1393}]","24101","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","70099","0.0-1.0-1.0","0","0","mBvvp","People","","9785","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","73381","0.0-2.0","0","0","mBvvp","People","","3275","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","79716","0.0-3.0","0","0","mBvvp","People","","6331","","","","","60","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","84020","0.0-4.0","0","0","mBvvp","People","","4300","","","","","74","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","87923","0.0-5.0","0","0","mBvvp","People","","3899","","","","","72","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","93651","0.0-6.0","0","0","mBvvp","People","","5726","","","","","58","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","98004","0.0-7.0","0","0","mBvvp","People","","4351","","","","","77","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","101652","0.0-8.0","0","0","mBvvp","People","","3645","","","","","89","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
