"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2035","fullscreen","0","26223","0.0-0.0","0","0","nYHH2","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","32927","0.0-1.0-0.0","0","0","nYHH2","Scenes","[{""page_index"":0,""viewing_time"":5222},{""page_index"":1,""viewing_time"":1480}]","6702","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","37744","0.0-1.0-1.0","0","0","nYHH2","Scenes","","4814","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","39396","0.0-2.0","0","0","nYHH2","Scenes","","1650","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","41791","0.0-3.0","0","0","nYHH2","Scenes","","2393","","","","69","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","43864","0.0-4.0","0","0","nYHH2","Scenes","","2071","","","","85","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","46134","0.0-5.0","0","0","nYHH2","Scenes","","2268","","","","66","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","48095","0.0-6.0","0","0","nYHH2","Scenes","","1960","","","","73","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","50835","0.0-7.0","0","0","nYHH2","Scenes","","2738","","","","82","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","53462","0.0-8.0","0","0","nYHH2","Scenes","","2626","","","","81","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","63348","0.0-9.0","0","0","nYHH2","Scenes","","9884","","","","78","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","66119","0.0-10.0","0","0","nYHH2","Scenes","","2770","","","","58","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","69418","0.0-11.0","0","0","nYHH2","Scenes","","3297","","","","40","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
