"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2037","fullscreen","0","1168485","0.0-0.0","0","0","oQjkh","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","1177197","0.0-1.0-0.0","0","0","oQjkh","Scenes","[{""page_index"":0,""viewing_time"":6602},{""page_index"":1,""viewing_time"":2103}]","8707","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","1182605","0.0-1.0-1.0","0","0","oQjkh","Scenes","","5402","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","1184902","0.0-2.0","0","0","oQjkh","Scenes","","2294","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","1191876","0.0-3.0","0","0","oQjkh","Scenes","","6969","","","","82","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","1195348","0.0-4.0","0","0","oQjkh","Scenes","","3467","","","","76","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","1200019","0.0-5.0","0","0","oQjkh","Scenes","","4668","","","","55","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","1203075","0.0-6.0","0","0","oQjkh","Scenes","","3051","","","","79","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","1205476","0.0-7.0","0","0","oQjkh","Scenes","","2397","","","","78","103","anton-darius-FBJugtbHsWU-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","1209530","0.0-8.0","0","0","oQjkh","Scenes","","4051","","","","86","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
