"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0014","fullscreen","0","22822","0.0-0.0","0","0","q3aSU","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","41571","0.0-1.0-0.0","0","0","q3aSU","Scenes","[{""page_index"":0,""viewing_time"":15088},{""page_index"":1,""viewing_time"":3658}]","18746","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","51092","0.0-1.0-1.0","0","0","q3aSU","Scenes","","9516","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","54826","0.0-2.0","0","0","q3aSU","Scenes","","3731","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","59192","0.0-3.0","0","0","q3aSU","Scenes","","4361","","","","100","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","63172","0.0-4.0","0","0","q3aSU","Scenes","","3976","","","","100","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","66430","0.0-5.0","0","0","q3aSU","Scenes","","3254","","","","100","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","70453","0.0-6.0","0","0","q3aSU","Scenes","","4020","","","","100","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","74726","0.0-7.0","0","0","q3aSU","Scenes","","4269","","","","100","118","henry-be-NLF6hTe4PAg-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","78647","0.0-8.0","0","0","q3aSU","Scenes","","3918","","","","100","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","82154","0.0-9.0","0","0","q3aSU","Scenes","","3503","","","","100","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
