"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1359","fullscreen","0","9470","0.0-0.0","0","0","qZmtG","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","16543","0.0-1.0-0.0","0","0","qZmtG","People","[{""page_index"":0,""viewing_time"":5664},{""page_index"":1,""viewing_time"":1406}]","7070","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","22103","0.0-1.0-1.0","0","0","qZmtG","People","","5557","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","24186","0.0-2.0","0","0","qZmtG","People","","2079","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","27716","0.0-3.0","0","0","qZmtG","People","","3526","","","","","75","18","good-faces-xmSWVeGEnJw-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","30281","0.0-4.0","0","0","qZmtG","People","","2562","","","","","100","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","32879","0.0-5.0","0","0","qZmtG","People","","2597","","","","","42","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","35276","0.0-6.0","0","0","qZmtG","People","","2394","","","","","72","46","stefan-stefancik-QXevDflbl8A-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","38910","0.0-7.0","0","0","qZmtG","People","","3632","","","","","76","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","41270","0.0-8.0","0","0","qZmtG","People","","2359","","","","","73","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","43758","0.0-9.0","0","0","qZmtG","People","","2486","","","","","41","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","46310","0.0-10.0","0","0","qZmtG","People","","2550","","","","","68","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
