"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2140","fullscreen","0","38824","0.0-0.0","0","0","s0LdK","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","56221","0.0-1.0-0.0","0","0","s0LdK","Scenes","[{""page_index"":0,""viewing_time"":13112},{""page_index"":1,""viewing_time"":4279}]","17392","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","63592","0.0-1.0-1.0","0","0","s0LdK","Scenes","","7365","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","66031","0.0-2.0","0","0","s0LdK","Scenes","","2434","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","71337","0.0-3.0","0","0","s0LdK","Scenes","","5299","","","","87","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","75272","0.0-4.0","0","0","s0LdK","Scenes","","3933","","","","52","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","78921","0.0-5.0","0","0","s0LdK","Scenes","","3645","","","","60","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","82638","0.0-6.0","0","0","s0LdK","Scenes","","3713","","","","76","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","86707","0.0-7.0","0","0","s0LdK","Scenes","","4062","","","","91","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","90699","0.0-8.0","0","0","s0LdK","Scenes","","3985","","","","32","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
