"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1904","fullscreen","0","18409","0.0-0.0","0","0","sNtxH","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","58838","0.0-1.0-0.0","0","0","sNtxH","People","[{""page_index"":0,""viewing_time"":36813},{""page_index"":1,""viewing_time"":3611}]","40426","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","68552","0.0-1.0-1.0","0","0","sNtxH","People","","9705","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","263584","0.0-2.0","0","0","sNtxH","People","","195025","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","272905","0.0-3.0","0","0","sNtxH","People","","9317","","","","","35","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","275961","0.0-4.0","0","0","sNtxH","People","","3049","","","","","68","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","278905","0.0-5.0","0","0","sNtxH","People","","2941","","","","","76","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","282373","0.0-6.0","0","0","sNtxH","People","","3465","","","","","73","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","285813","0.0-7.0","0","0","sNtxH","People","","3435","","","","","85","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","288019","0.0-8.0","0","0","sNtxH","People","","2203","","","","","64","24","joel-mott-LaK153ghdig-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","288160","0.0-9.0","0","0","sNtxH","People","","137","","","","","50","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","294008","0.0-10.0","0","0","sNtxH","People","","5845","","","","","69","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","297091","0.0-11.0","0","0","sNtxH","People","","3081","","","","","79","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","300342","0.0-12.0","0","0","sNtxH","People","","3247","","","","","84","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","312667","0.0-13.0","0","0","sNtxH","People","","12323","","","","","87","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","316230","0.0-14.0","0","0","sNtxH","People","","3560","","","","","78","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","319622","0.0-15.0","0","0","sNtxH","People","","3388","","","","","88","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","323005","0.0-16.0","0","0","sNtxH","People","","3378","","","","","64","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","328018","0.0-17.0","0","0","sNtxH","People","","5010","","","","","89","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","331619","0.0-18.0","0","0","sNtxH","People","","3598","","","","","59","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
