"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1355","fullscreen","0","10143","0.0-0.0","0","0","sNyXJ","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","17789","0.0-1.0-0.0","0","0","sNyXJ","People","[{""page_index"":0,""viewing_time"":5876},{""page_index"":1,""viewing_time"":1768}]","7644","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","23667","0.0-1.0-1.0","0","0","sNyXJ","People","","5875","{""Q0"":""True"",""Q1"":""Two optional keys""}","rating_comprehension_check","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","26162","0.0-1.0-2.0-0.0","0","1","sNyXJ","People","","2491","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","4","30571","0.0-1.1-0.1","0","0","sNyXJ","People","[{""page_index"":0,""viewing_time"":2821},{""page_index"":1,""viewing_time"":1586}]","4407","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","5","33966","0.0-1.1-1.1","0","0","sNyXJ","People","","3394","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","6","35761","0.0-2.0","0","0","sNyXJ","People","","1792","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","38727","0.0-3.0","0","0","sNyXJ","People","","2963","","","","","47","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","40575","0.0-4.0","0","0","sNyXJ","People","","1847","","","","","44","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","43079","0.0-5.0","0","0","sNyXJ","People","","2502","","","","","69","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","44801","0.0-6.0","0","0","sNyXJ","People","","1721","","","","","57","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","46607","0.0-7.0","0","0","sNyXJ","People","","1805","","","","","39","10","charles-etoroma-95UF6LXe-Lo-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","48827","0.0-8.0","0","0","sNyXJ","People","","2219","","","","","58","24","joel-mott-LaK153ghdig-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","50669","0.0-9.0","0","0","sNyXJ","People","","1840","","","","","47","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","52852","0.0-10.0","0","0","sNyXJ","People","","2183","","","","","34","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","55138","0.0-11.0","0","0","sNyXJ","People","","2285","","","","","44","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","57307","0.0-12.0","0","0","sNyXJ","People","","2167","","","","","62","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","59320","0.0-13.0","0","0","sNyXJ","People","","2013","","","","","45","23","joanna-nix-walkup-H4fEMshfwTE-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","61242","0.0-14.0","0","0","sNyXJ","People","","1920","","","","","41","47","tyler-nix-ZGa9d1a_4tA-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","65422","0.0-15.0","0","0","sNyXJ","People","","4179","","","","","44","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","66948","0.0-16.0","0","0","sNyXJ","People","","1524","","","","","41","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","68432","0.0-17.0","0","0","sNyXJ","People","","1482","","","","","36","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","70577","0.0-18.0","0","0","sNyXJ","People","","2143","","","","","46","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
