"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1458","fullscreen","0","2816128","0.0-0.0","0","0","tMhNR","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","2829779","0.0-1.0-0.0","0","0","tMhNR","People","[{""page_index"":0,""viewing_time"":10968},{""page_index"":1,""viewing_time"":2677}]","13646","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","2837134","0.0-1.0-1.0","0","0","tMhNR","People","","7352","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","2842174","0.0-2.0","0","0","tMhNR","People","","5038","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","2846975","0.0-3.0","0","0","tMhNR","People","","4799","","","","","88","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","2851517","0.0-4.0","0","0","tMhNR","People","","4540","","","","","80","6","ben-o-bro-C5XyLljkMrY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","2856460","0.0-5.0","0","0","tMhNR","People","","4942","","","","","90","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","2859061","0.0-6.0","0","0","tMhNR","People","","2598","","","","","75","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","2862986","0.0-7.0","0","0","tMhNR","People","","3923","","","","","76","18","good-faces-xmSWVeGEnJw-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","2865634","0.0-8.0","0","0","tMhNR","People","","2646","","","","","76","44","rikonavt-HQjfrvdTfak-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","2868245","0.0-9.0","0","0","tMhNR","People","","2609","","","","","33","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","2871603","0.0-10.0","0","0","tMhNR","People","","3357","","","","","63","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","2877593","0.0-11.0","0","0","tMhNR","People","","5988","","","","","18","32","nathan-dumlao-ger61_TX6oI-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
