"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2338","fullscreen","0","10655","0.0-0.0","0","0","taNWE","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","26581","0.0-1.0-0.0","0","0","taNWE","Scenes","[{""page_index"":0,""viewing_time"":14100},{""page_index"":1,""viewing_time"":1824}]","15924","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","31733","0.0-1.0-1.0","0","0","taNWE","Scenes","","5151","{""Q0"":"""",""Q1"":""Mouse""}","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","missed_instruction_checkup","","html-keyboard-response","3","35024","0.0-1.0-2.0-0.0","0","1","taNWE","Scenes","","3287","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","4","40077","0.0-1.1-0.1","0","0","taNWE","Scenes","[{""page_index"":0,""viewing_time"":3836},{""page_index"":1,""viewing_time"":1216}]","5052","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","5","44845","0.0-1.1-1.1","0","0","taNWE","Scenes","","4766","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","6","47118","0.0-2.0","0","0","taNWE","Scenes","","2270","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","52429","0.0-3.0","0","0","taNWE","Scenes","","5309","","","","61","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","55382","0.0-4.0","0","0","taNWE","Scenes","","2951","","","","50","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","59165","0.0-5.0","0","0","taNWE","Scenes","","3782","","","","94","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","64717","0.0-6.0","0","0","taNWE","Scenes","","5550","","","","22","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","67517","0.0-7.0","0","0","taNWE","Scenes","","2798","","","","4","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","72101","0.0-8.0","0","0","taNWE","Scenes","","4583","","","","95","108","benjamin-voros-phIFdC6lA4E-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","75077","0.0-9.0","0","0","taNWE","Scenes","","2974","","","","100","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","78141","0.0-10.0","0","0","taNWE","Scenes","","3062","","","","92","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","81661","0.0-11.0","0","0","taNWE","Scenes","","3518","","","","74","130","lina-loos-04-C1NZk1hE-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","86701","0.0-12.0","0","0","taNWE","Scenes","","5038","","","","100","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","90141","0.0-13.0","0","0","taNWE","Scenes","","3438","","","","96","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","92637","0.0-14.0","0","0","taNWE","Scenes","","2494","","","","94","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","95325","0.0-15.0","0","0","taNWE","Scenes","","2686","","","","56","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","98085","0.0-16.0","0","0","taNWE","Scenes","","2758","","","","55","132","meng-ji-8BH_M-53CyA-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","101349","0.0-17.0","0","0","taNWE","Scenes","","3262","","","","50","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","103429","0.0-18.0","0","0","taNWE","Scenes","","2078","","","","50","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","106789","0.0-19.0","0","0","taNWE","Scenes","","3358","","","","43","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","109845","0.0-20.0","0","0","taNWE","Scenes","","3055","","","","73","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","113356","0.0-21.0","0","0","taNWE","Scenes","","3510","","","","64","113","damian-denis-D8R_txR_0PE-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","116556","0.0-22.0","0","0","taNWE","Scenes","","3199","","","","54","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","119940","0.0-23.0","0","0","taNWE","Scenes","","3383","","","","83","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
