"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1831","fullscreen","0","33121","0.0-0.0","0","0","uNe1z","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","53088","0.0-1.0-0.0","0","0","uNe1z","People","[{""page_index"":0,""viewing_time"":15137},{""page_index"":1,""viewing_time"":4823}]","19962","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","269871","0.0-1.0-1.0","0","0","uNe1z","People","","216781","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","274367","0.0-2.0","0","0","uNe1z","People","","4492","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","280490","0.0-3.0","0","0","uNe1z","People","","6121","","","","","84","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","286286","0.0-4.0","0","0","uNe1z","People","","5793","","","","","21","44","rikonavt-HQjfrvdTfak-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","294161","0.0-5.0","0","0","uNe1z","People","","7872","","","","","65","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","303571","0.0-6.0","0","0","uNe1z","People","","9408","","","","","75","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","318319","0.0-7.0","0","0","uNe1z","People","","14746","","","","","74","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","325254","0.0-8.0","0","0","uNe1z","People","","6933","","","","","93","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
