"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1354","fullscreen","0","116832","0.0-0.0","0","0","vRFa3","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","126804","0.0-1.0-0.0","0","0","vRFa3","People","[{""page_index"":0,""viewing_time"":8502},{""page_index"":1,""viewing_time"":1466}]","9968","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","131890","0.0-1.0-1.0","0","0","vRFa3","People","","5083","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","133750","0.0-2.0","0","0","vRFa3","People","","1857","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","138076","0.0-3.0","0","0","vRFa3","People","","4322","","","","","73","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","141450","0.0-4.0","0","0","vRFa3","People","","3371","","","","","57","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","144896","0.0-5.0","0","0","vRFa3","People","","3443","","","","","79","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","148449","0.0-6.0","0","0","vRFa3","People","","3551","","","","","37","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","152912","0.0-7.0","0","0","vRFa3","People","","4460","","","","","66","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","155811","0.0-8.0","0","0","vRFa3","People","","2898","","","","","66","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","158654","0.0-9.0","0","0","vRFa3","People","","2841","","","","","46","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
