"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1505","fullscreen","0","15116","0.0-0.0","0","0","wP5Q8","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","38685","0.0-1.0-0.0","0","0","wP5Q8","People","[{""page_index"":0,""viewing_time"":21398},{""page_index"":1,""viewing_time"":2168}]","23567","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","46911","0.0-1.0-1.0","0","0","wP5Q8","People","","8221","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","49704","0.0-2.0","0","0","wP5Q8","People","","2790","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","55501","0.0-3.0","0","0","wP5Q8","People","","5794","","","","","79","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","60973","0.0-4.0","0","0","wP5Q8","People","","5469","","","","","53","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","65633","0.0-5.0","0","0","wP5Q8","People","","4657","","","","","57","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","71759","0.0-6.0","0","0","wP5Q8","People","","6124","","","","","93","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","76183","0.0-7.0","0","0","wP5Q8","People","","4422","","","","","37","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","80853","0.0-8.0","0","0","wP5Q8","People","","4668","","","","","63","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","85397","0.0-9.0","0","0","wP5Q8","People","","4541","","","","","71","15","gabriel-silverio-u3WmDyKGsrY-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","89010","0.0-10.0","0","0","wP5Q8","People","","3610","","","","","90","34","oliver-johnson-1TUIcKob7Zs-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","93596","0.0-11.0","0","0","wP5Q8","People","","4584","","","","","100","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","97388","0.0-12.0","0","0","wP5Q8","People","","3790","","","","","73","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","101078","0.0-13.0","0","0","wP5Q8","People","","3688","","","","","60","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","105856","0.0-14.0","0","0","wP5Q8","People","","4776","","","","","55","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","111016","0.0-15.0","0","0","wP5Q8","People","","5158","","","","","100","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","114370","0.0-16.0","0","0","wP5Q8","People","","3352","","","","","100","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","117798","0.0-17.0","0","0","wP5Q8","People","","3426","","","","","21","0","abstral-official-cyOKLSgkgCE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","121616","0.0-18.0","0","0","wP5Q8","People","","3817","","","","","79","44","rikonavt-HQjfrvdTfak-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","124817","0.0-19.0","0","0","wP5Q8","People","","3199","","","","","66","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","128113","0.0-20.0","0","0","wP5Q8","People","","3294","","","","","100","24","joel-mott-LaK153ghdig-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","134575","0.0-21.0","0","0","wP5Q8","People","","6460","","","","","74","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","139855","0.0-22.0","0","0","wP5Q8","People","","5278","","","","","39","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","144047","0.0-23.0","0","0","wP5Q8","People","","4190","","","","","59","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","152959","0.0-24.0","0","0","wP5Q8","People","","8910","","","","","100","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","159724","0.0-25.0","0","0","wP5Q8","People","","6762","","","","","29","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","169024","0.0-26.0","0","0","wP5Q8","People","","9298","","","","","70","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","174162","0.0-27.0","0","0","wP5Q8","People","","5136","","","","","52","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","181858","0.0-28.0","0","0","wP5Q8","People","","7694","","","","","46","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
