"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2212","fullscreen","0","9145","0.0-0.0","0","0","wcLK5","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","19337","0.0-1.0-0.0","0","0","wcLK5","Scenes","[{""page_index"":0,""viewing_time"":7664},{""page_index"":1,""viewing_time"":2525}]","10189","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","24275","0.0-1.0-1.0","0","0","wcLK5","Scenes","","4934","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","26549","0.0-2.0","0","0","wcLK5","Scenes","","2271","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","30065","0.0-3.0","0","0","wcLK5","Scenes","","3512","","","","89","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","32905","0.0-4.0","0","0","wcLK5","Scenes","","2838","","","","73","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","35517","0.0-5.0","0","0","wcLK5","Scenes","","2611","","","","82","132","meng-ji-8BH_M-53CyA-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","38036","0.0-6.0","0","0","wcLK5","Scenes","","2517","","","","88","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","40538","0.0-7.0","0","0","wcLK5","Scenes","","2499","","","","30","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","43873","0.0-8.0","0","0","wcLK5","Scenes","","3333","","","","40","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","46665","0.0-9.0","0","0","wcLK5","Scenes","","2790","","","","96","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","48868","0.0-10.0","0","0","wcLK5","Scenes","","2200","","","","85","134","milada-vigerova-pQMM63GE7fo-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","51677","0.0-11.0","0","0","wcLK5","Scenes","","2807","","","","75","113","damian-denis-D8R_txR_0PE-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","54375","0.0-12.0","0","0","wcLK5","Scenes","","2696","","","","24","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","56526","0.0-13.0","0","0","wcLK5","Scenes","","2148","","","","38","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","59184","0.0-14.0","0","0","wcLK5","Scenes","","2656","","","","78","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","62340","0.0-15.0","0","0","wcLK5","Scenes","","3154","","","","67","118","henry-be-NLF6hTe4PAg-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","64885","0.0-16.0","0","0","wcLK5","Scenes","","2543","","","","79","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","66842","0.0-17.0","0","0","wcLK5","Scenes","","1956","","","","69","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","69262","0.0-18.0","0","0","wcLK5","Scenes","","2418","","","","92","106","ashim-d-silva-WeYamle9fDM-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
