"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01202023hr0213","fullscreen","0","12341","0.0-0.0","0","0","xLFBC","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","19131","0.0-1.0-0.0","0","0","xLFBC","Scenes","[{""page_index"":0,""viewing_time"":5204},{""page_index"":1,""viewing_time"":1582}]","6787","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","27281","0.0-1.0-1.0","0","0","xLFBC","Scenes","","8144","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","29923","0.0-2.0","0","0","xLFBC","Scenes","","2639","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","34704","0.0-3.0","0","0","xLFBC","Scenes","","4778","","","","80","102","anisur-rahman-K2b7UDed6uQ-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","38234","0.0-4.0","0","0","xLFBC","Scenes","","3526","","","","79","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","41432","0.0-5.0","0","0","xLFBC","Scenes","","3195","","","","86","137","olga-stalska-QaWRyEdlffY-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","44960","0.0-6.0","0","0","xLFBC","Scenes","","3526","","","","90","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","48130","0.0-7.0","0","0","xLFBC","Scenes","","3168","","","","92","125","john-lee-oMneOBYhJxY-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","51856","0.0-8.0","0","0","xLFBC","Scenes","","3723","","","","89","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","55497","0.0-9.0","0","0","xLFBC","Scenes","","3637","","","","87","140","samuele-errico-piccarini-JEBqFu2AOOA-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","58513","0.0-10.0","0","0","xLFBC","Scenes","","3013","","","","87","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","61264","0.0-11.0","0","0","xLFBC","Scenes","","2749","","","","87","132","meng-ji-8BH_M-53CyA-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","65084","0.0-12.0","0","0","xLFBC","Scenes","","3817","","","","84","136","nicolas-jehly-LzVB84KkZOE-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","68277","0.0-13.0","0","0","xLFBC","Scenes","","3191","","","","93","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
