"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","category","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01182023hr1422","fullscreen","0","2654","0.0-0.0","0","0","y72qN","People","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","8353","0.0-1.0-0.0","0","0","y72qN","People","[{""page_index"":0,""viewing_time"":2290},{""page_index"":1,""viewing_time"":3394}]","5684","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","survey-multi-choice","2","24783","0.0-1.0-1.0","0","0","y72qN","People","","16421","{""Q0"":""True"",""Q1"":""Mouse""}","rating_comprehension_check","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","27650","0.0-2.0","0","0","y72qN","People","","2860","","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","37737","0.0-3.0","0","0","y72qN","People","","10081","","","","","42","3","art-hauntington-jzY0KRJopEI-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","40191","0.0-4.0","0","0","y72qN","People","","2448","","","","","79","18","good-faces-xmSWVeGEnJw-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","42846","0.0-5.0","0","0","y72qN","People","","2649","","","","","80","40","prince-akachi-4Yv84VgQkRM-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","45771","0.0-6.0","0","0","y72qN","People","","2920","","","","","83","20","houcine-ncib-B4TjXnI0Y2c-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","48357","0.0-7.0","0","0","y72qN","People","","2581","","","","","26","9","carlos-andres-gomez-vJuk8Y86mRw-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","51885","0.0-8.0","0","0","y72qN","People","","3524","","","","","25","16","giano-currie-5-9YOsmf8IQ-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","54207","0.0-9.0","0","0","y72qN","People","","2318","","","","","27","49","vicky-hladynets-_gDoyVv5F4c-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","56571","0.0-10.0","0","0","y72qN","People","","2358","","","","","16","8","bruce-dixon-3M9WJQVHzog-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","59157","0.0-11.0","0","0","y72qN","People","","2581","","","","","72","26","juri-gianfrancesco-9EZadYaMzk4-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","61893","0.0-12.0","0","0","y72qN","People","","2732","","","","","78","29","leilani-angel-K84vnnzxmTQ-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","64687","0.0-13.0","0","0","y72qN","People","","2789","","","","","32","35","oliver-ragfelt-khV4fTy6-D8-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","67051","0.0-14.0","0","0","y72qN","People","","2359","","","","","26","28","justin-chen-J7Cf1Gch49E-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","70067","0.0-15.0","0","0","y72qN","People","","3012","","","","","64","41","prince-akachi-i2hoD-C2RUA-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","73665","0.0-16.0","0","0","y72qN","People","","3592","","","","","65","1","aiony-haust-jmATI5Q_YgY-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","75948","0.0-17.0","0","0","y72qN","People","","2278","","","","","28","22","jessica-radanavong-mrYkTuAesKE-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","78519","0.0-18.0","0","0","y72qN","People","","2566","","","","","95","17","gleb-lukomets-paBzWCPN23k-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","81352","0.0-19.0","0","0","y72qN","People","","2828","","","","","73","37","pavel-anoshin-d0peGya6R5Y-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","83989","0.0-20.0","0","0","y72qN","People","","2633","","","","","55","48","velizar-ivanov-7ktP9yZA1g4-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","87977","0.0-21.0","0","0","y72qN","People","","3982","","","","","78","30","matheus-ferrero-pg_WCHWSdT8-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","90432","0.0-22.0","0","0","y72qN","People","","2449","","","","","63","12","daniel-rigdon-dXmXKPP2L4E-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","92751","0.0-23.0","0","0","y72qN","People","","2314","","","","","97","42","prince-akachi-l3IHXOdMyHQ-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","95903","0.0-24.0","0","0","y72qN","People","","3147","","","","","80","36","ospan-ali-mGdA2fzjWLo-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","99347","0.0-25.0","0","0","y72qN","People","","3436","","","","","49","38","petr-sevcovic-HzDF-rxlSeM-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","102023","0.0-26.0","0","0","y72qN","People","","2672","","","","","39","33","olena-sergienko-0TSd6uCKTKc-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","104937","0.0-27.0","0","0","y72qN","People","","2909","","","","","39","45","sarah-noltner-pL5ZzPp1zqg-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","107401","0.0-28.0","0","0","y72qN","People","","2458","","","","","32","5","batel-studio-ttSRjiYG_WM-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","109467","0.0-29.0","0","0","y72qN","People","","2061","","","","","26","19","ha-nguy-n-OFSQ6bHjFjs-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","111741","0.0-30.0","0","0","y72qN","People","","2269","","","","","25","27","jurica-koletic-7YVZYZeITc8-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","114085","0.0-31.0","0","0","y72qN","People","","2338","","","","","59","43","raamin-ka-0qJBEzudn5E-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","116666","0.0-32.0","0","0","y72qN","People","","2575","","","","","32","13","erik-lucatero-d2MSDujJl2g-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","118896","0.0-33.0","0","0","y72qN","People","","2223","","","","","67","25","joseph-gonzalez-iFgRcqHznqg-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","121237","0.0-34.0","0","0","y72qN","People","","2335","","","","","89","7","brooke-cagle-HRZUzoX1e6w-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","123737","0.0-35.0","0","0","y72qN","People","","2495","","","","","29","2","arjunsyah-TBUA5KHJn6k-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","127854","0.0-36.0","0","0","y72qN","People","","4113","","","","","28","21","jessica-felicio-_cvwXhGqG-o-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","130280","0.0-37.0","0","0","y72qN","People","","2419","","","","","98","14","freddy-kearney-o-ioeoATbIM-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","133237","0.0-38.0","0","0","y72qN","People","","2952","","","","","34","11","christian-ferrer-8vT-DgHZDG4-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","136178","0.0-39.0","0","0","y72qN","People","","2935","","","","","95","39","philip-martin-5aGUyCW_PJw-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","138365","0.0-40.0","0","0","y72qN","People","","2182","","","","","94","24","joel-mott-LaK153ghdig-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","140415","0.0-41.0","0","0","y72qN","People","","2045","","","","","35","4","barna-bartis-2x3vfVxwR7o-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
