"success","ttype","start_time","trial_type","trial_index","time_elapsed","internal_node_id","warning","missed_checkup","PID","stim_type","view_history","rt","responses","repeat_instructions","key_press","response","stimulus_id","painting","index","stimulus_left","stimulus_right","explain_trial","reward_type","rating_left","rating_right","painting_left","painting_right","block","left_chosen","chosen_obj","unchosen_obj","explain_response","reward_amount","see_reward_rt","register_reward_response","register_reward_rt","deliberation_reward_tally","stimulus_left_deliberation_ind","stimulus_right_deliberation_ind","chosen_trial","gain_left","higher_outcome_chosen","old_pair","chosen_object","rt_pairs","left_object_chosen","rt_object","old_response","new_rating","deliberated_stim","initial_rating","outcome_eval_rt","outcome_eval_response","outcome_eval_gain","outcome_eval_acc","preamble","outcome_eval_confidence","outcome_eval_confidence_rt","total_reward_tally"
"true","full_screen","d01192023hr2037","fullscreen","0","50794","0.0-0.0","0","0","yzPbe","Scenes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_instructions","","instructions","1","78565","0.0-1.0-0.0","0","0","yzPbe","Scenes","[{""page_index"":0,""viewing_time"":22891},{""page_index"":1,""viewing_time"":4876}]","27768","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating_comprehension_check","","survey-multi-choice","2","85926","0.0-1.0-1.0","0","0","yzPbe","Scenes","","7358","{""Q0"":""True"",""Q1"":""Mouse""}","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","start_phase","","html-keyboard-response","3","95833","0.0-2.0","0","0","yzPbe","Scenes","","9900","","","78","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","4","101319","0.0-3.0","0","0","yzPbe","Scenes","","5483","","","","74","139","samsommer-vddccTqwal8-unsplash.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","5","104251","0.0-4.0","0","0","yzPbe","Scenes","","2929","","","","72","135","mohammad-alizade-4wzRuAb-KWs-unsplash.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","6","108133","0.0-5.0","0","0","yzPbe","Scenes","","3879","","","","79","113","damian-denis-D8R_txR_0PE-unsplash.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","7","112569","0.0-6.0","0","0","yzPbe","Scenes","","4434","","","","59","115","darrell-cassell-hoCXpPUMCoE-unsplash.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","8","116603","0.0-7.0","0","0","yzPbe","Scenes","","4031","","","","70","130","lina-loos-04-C1NZk1hE-unsplash.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","9","118770","0.0-8.0","0","0","yzPbe","Scenes","","2165","","","","68","129","kurt-cotoaga-cqbLg3lZEpk-unsplash.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","10","121147","0.0-9.0","0","0","yzPbe","Scenes","","2375","","","","73","144","solotravelgoals-7kLufxYoqWk-unsplash.jpg","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","11","124557","0.0-10.0","0","0","yzPbe","Scenes","","3408","","","","89","148","tom-gainor-ZqLeQDjY6fY-unsplash.jpg","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","12","127464","0.0-11.0","0","0","yzPbe","Scenes","","2905","","","","64","138","petr-vysohlid-9fqwGqGLUxc-unsplash.jpg","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","13","130683","0.0-12.0","0","0","yzPbe","Scenes","","3217","","","","65","126","jordan-mcqueen-PJCZOWuOxbU-unsplash.jpg","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","14","133599","0.0-13.0","0","0","yzPbe","Scenes","","2913","","","","72","147","tobias-keller-73F4pKoUkM0-unsplash.jpg","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","15","137179","0.0-14.0","0","0","yzPbe","Scenes","","3578","","","","64","143","sigurdur-fjalar-jonsson-1KxBabIntpE-unsplash.jpg","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","16","141206","0.0-15.0","0","0","yzPbe","Scenes","","4025","","","","69","116","david-marcu-W5MhJ6cy1So-unsplash.jpg","12","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","17","145805","0.0-16.0","0","0","yzPbe","Scenes","","4596","","","","93","120","jarrett-kow-1ZOyYPOBn7I-unsplash.jpg","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","18","148599","0.0-17.0","0","0","yzPbe","Scenes","","2791","","","","74","119","james-wheeler-AFC0XvICMgs-unsplash.jpg","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","19","151385","0.0-18.0","0","0","yzPbe","Scenes","","2783","","","","66","111","claudio-testa-U3F2o6vz3bs-unsplash.jpg","15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","20","154463","0.0-19.0","0","0","yzPbe","Scenes","","3076","","","","92","109","brigitta-schneiter-hXXRLtTxXCU-unsplash.jpg","16","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","21","157965","0.0-20.0","0","0","yzPbe","Scenes","","3499","","","","75","100","aleksandra-boguslawska-MS7KD9Ti7FQ-unsplash.jpg","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","22","160921","0.0-21.0","0","0","yzPbe","Scenes","","2954","","","","61","118","henry-be-NLF6hTe4PAg-unsplash.jpg","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","23","163528","0.0-22.0","0","0","yzPbe","Scenes","","2604","","","","66","122","jeff-king-bJHWJeiHfHc-unsplash.jpg","19","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","24","167897","0.0-23.0","0","0","yzPbe","Scenes","","4367","","","","65","142","sergey-pesterev-y-b_FOmJXdg-unsplash.jpg","20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","25","172759","0.0-24.0","0","0","yzPbe","Scenes","","4860","","","","71","101","aniket-deole-T-tOgjWZ0fQ-unsplash.jpg","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","26","179045","0.0-25.0","0","0","yzPbe","Scenes","","6283","","","","36","149","yuriy-bogdanov-W51VK3Obcj0-unsplash.jpg","22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","27","183312","0.0-26.0","0","0","yzPbe","Scenes","","4265","","","","50","121","jean-pierre-brungs-qxCqkbF7tUc-unsplash.jpg","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","28","188211","0.0-27.0","0","0","yzPbe","Scenes","","4897","","","","88","131","luca-bravo-hFzIoD0F_i8-unsplash.jpg","24","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","29","192470","0.0-28.0","0","0","yzPbe","Scenes","","4256","","","","66","146","thomas-morse-cuKKa0vWZSY-unsplash.jpg","25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","30","208393","0.0-29.0","0","0","yzPbe","Scenes","","15921","","","","81","114","daniel-sessler-z_9VmsxR8hs-unsplash.jpg","26","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","31","214041","0.0-30.0","0","0","yzPbe","Scenes","","5646","","","","57","141","sebastian-unrau-v4e3JI7DDHI-unsplash.jpg","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","32","221449","0.0-31.0","0","0","yzPbe","Scenes","","7406","","","","72","124","johannes-plenio-sPt5RIjKfpk-unsplash.jpg","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","33","225367","0.0-32.0","0","0","yzPbe","Scenes","","3916","","","","89","123","joel-jasmin-forestbird-efuwb5eBDrI-unsplash.jpg","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","34","229673","0.0-33.0","0","0","yzPbe","Scenes","","4303","","","","74","145","stephen-leonardi-gyIRjKPXupE-unsplash.jpg","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","35","233801","0.0-34.0","0","0","yzPbe","Scenes","","4125","","","","50","133","mickey-o-neil-xL66l--msXU-unsplash.jpg","31","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","36","237705","0.0-35.0","0","0","yzPbe","Scenes","","3903","","","","50","117","frank-mckenna-OD9EOzfSOh0-unsplash.jpg","32","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","37","242379","0.0-36.0","0","0","yzPbe","Scenes","","4672","","","","69","103","anton-darius-FBJugtbHsWU-unsplash.jpg","33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","38","245935","0.0-37.0","0","0","yzPbe","Scenes","","3553","","","","90","125","john-lee-oMneOBYhJxY-unsplash.jpg","34","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","39","250625","0.0-38.0","0","0","yzPbe","Scenes","","4687","","","","87","104","artem-sapegin-XGDBdSQ70O0-unsplash.jpg","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","40","254222","0.0-39.0","0","0","yzPbe","Scenes","","3593","","","","66","127","kace-rodriguez-p3OzJuT_Dks-unsplash.jpg","36","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","41","258765","0.0-40.0","0","0","yzPbe","Scenes","","4541","","","","66","128","karsten-wurth-jS0zC2PJ17A-unsplash.jpg","37","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","42","261812","0.0-41.0","0","0","yzPbe","Scenes","","3044","","","","83","105","ashim-d-silva-S2Q5mdOrrVc-unsplash.jpg","38","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","43","266187","0.0-42.0","0","0","yzPbe","Scenes","","4372","","","","87","112","cosmic-timetraveler-pYyOZ8q7AII-unsplash.jpg","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","rating","","html-slider-response","44","271247","0.0-43.0","0","0","yzPbe","Scenes","","5057","","","","73","110","bruno-van-der-kraan-qez8mNJ3ilU-unsplash.jpg","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
