"event","trial","time","PID"
"fullscreenenter","0","12848","1mICX"
"fullscreenexit","1","14526","1mICX"
"blur","1","18358","1mICX"
"focus","1","20673","1mICX"
"blur","35","149052","1mICX"
"focus","35","156491","1mICX"
"blur","51","208888","1mICX"
"focus","51","217030","1mICX"
"blur","64","280168","1mICX"
"focus","64","299402","1mICX"
"blur","67","347794","1mICX"
"focus","67","351852","1mICX"
"blur","140","680824","1mICX"
"focus","140","692732","1mICX"
"blur","199","818659","1mICX"
"focus","199","830671","1mICX"
"blur","199","832475","1mICX"
"focus","199","834347","1mICX"
"blur","199","844658","1mICX"
"focus","199","861022","1mICX"
"blur","274","987141","1mICX"
"focus","274","997654","1mICX"
"blur","348","1092824","1mICX"
"focus","348","1132733","1mICX"
"blur","641","1434860","1mICX"
"focus","641","1454789","1mICX"
"blur","1075","1813418","1mICX"
"focus","1075","1817524","1mICX"
"blur","1241","2104518","1mICX"
"focus","1241","2161763","1mICX"
"blur","1241","2161765","1mICX"
"focus","1241","2166039","1mICX"
"blur","1357","2435610","1mICX"
"focus","1357","2439325","1mICX"
