"event","trial","time","PID"
"blur","0","2555","1aJL1"
"focus","0","3449","1aJL1"
"blur","0","3997","1aJL1"
"focus","0","8148","1aJL1"
"fullscreenenter","0","9985","1aJL1"
"blur","1","25962","1aJL1"
"focus","1","80075","1aJL1"
"blur","54","190950","1aJL1"
"focus","54","338612","1aJL1"
"blur","77","527200","1aJL1"
"focus","80","537468","1aJL1"
"blur","120","647157","1aJL1"
"focus","120","925112","1aJL1"
"blur","143","985695","1aJL1"
"focus","145","995983","1aJL1"
"blur","151","1007881","1aJL1"
"focus","151","1584266","1aJL1"
"blur","1064","2521001","1aJL1"
"focus","1064","2542866","1aJL1"
"blur","1244","2916748","1aJL1"
"focus","1244","2916900","1aJL1"
"blur","1248","2924073","1aJL1"
"focus","1248","2931298","1aJL1"
"blur","1252","2938741","1aJL1"
"focus","1252","2966459","1aJL1"
"blur","1332","3171534","1aJL1"
"focus","1332","3177819","1aJL1"
"blur","1332","3185201","1aJL1"
"focus","1332","3197509","1aJL1"
