"event","trial","time","PID"
"focus","0","0","6NYOK"
"blur","0","8859","6NYOK"
"focus","0","65030","6NYOK"
"blur","0","66361","6NYOK"
"focus","0","249080","6NYOK"
"blur","0","250851","6NYOK"
"focus","0","4499769","6NYOK"
"blur","0","4500673","6NYOK"
"focus","0","4501416","6NYOK"
"fullscreenexit","0","4507855","6NYOK"
"fullscreenexit","0","4508472","6NYOK"
"blur","1","4543031","6NYOK"
"focus","1","4548164","6NYOK"
"blur","1","4761256","6NYOK"
"focus","1","4895393","6NYOK"
"blur","1","4896782","6NYOK"
"focus","1","4995423","6NYOK"
"blur","103","5529242","6NYOK"
"focus","103","5531825","6NYOK"
"blur","103","6094630","6NYOK"
"focus","103","6097151","6NYOK"
"blur","103","6100529","6NYOK"
"focus","103","6108178","6NYOK"
"blur","103","6343915","6NYOK"
"focus","103","6595398","6NYOK"
"blur","103","6596068","6NYOK"
"focus","103","6597679","6NYOK"
"blur","103","6599091","6NYOK"
"focus","103","6603251","6NYOK"
"blur","103","6702229","6NYOK"
"focus","103","7240719","6NYOK"
"blur","103","7243195","6NYOK"
"focus","103","7244394","6NYOK"
"blur","405","7886493","6NYOK"
"focus","405","7888834","6NYOK"
"blur","1157","8656106","6NYOK"
"focus","1157","8656878","6NYOK"
"blur","1157","8658638","6NYOK"
"focus","1157","8659902","6NYOK"
"blur","1322","8977631","6NYOK"
"focus","1322","8980819","6NYOK"
