"event","trial","time","PID"
"fullscreenenter","0","5602","9nseM"
"fullscreenexit","1","62647","9nseM"
"blur","1","63559","9nseM"
"focus","1","66206","9nseM"
"blur","54","371374","9nseM"
"focus","54","392302","9nseM"
"blur","57","496421","9nseM"
"focus","57","515541","9nseM"
"blur","57","519436","9nseM"
"focus","57","523909","9nseM"
"blur","57","524910","9nseM"
"focus","57","526177","9nseM"
"blur","67","1044601","9nseM"
"focus","67","1085480","9nseM"
"blur","67","1296279","9nseM"
"focus","67","1298406","9nseM"
"blur","69","1355111","9nseM"
"focus","69","1356571","9nseM"
"blur","70","1387361","9nseM"
"focus","70","1390320","9nseM"
"blur","515","2372168","9nseM"
"focus","516","2373723","9nseM"
"blur","544","2398723","9nseM"
"focus","545","2400149","9nseM"
"blur","551","2406481","9nseM"
"focus","551","2407962","9nseM"
"blur","620","2466928","9nseM"
"focus","620","2468266","9nseM"
"blur","622","2469574","9nseM"
"focus","623","2471092","9nseM"
"blur","1071","2850469","9nseM"
"focus","1071","2882330","9nseM"
"blur","1071","2883397","9nseM"
"focus","1071","2892390","9nseM"
"blur","1071","2928301","9nseM"
"focus","1071","5019064","9nseM"
"blur","1071","5020327","9nseM"
"focus","1071","5147909","9nseM"
"blur","1071","5149491","9nseM"
"focus","1071","5677151","9nseM"
"blur","1275","6113874","9nseM"
"focus","1275","6128179","9nseM"
"blur","1291","6153021","9nseM"
"focus","1291","6396639","9nseM"
"blur","1291","6397612","9nseM"
"focus","1291","6403947","9nseM"
"blur","1335","6504279","9nseM"
"focus","1335","6542919","9nseM"
"blur","1341","6648831","9nseM"
"focus","1341","6654806","9nseM"
"blur","1341","6655404","9nseM"
"focus","1341","6657689","9nseM"
"blur","1341","6659623","9nseM"
"focus","1341","6660222","9nseM"
"blur","1341","6681024","9nseM"
"focus","1341","6682956","9nseM"
"blur","1341","6683791","9nseM"
"focus","1341","6686690","9nseM"
"blur","1341","6687310","9nseM"
"focus","1341","6689649","9nseM"
"blur","1341","6690526","9nseM"
"focus","1341","6691454","9nseM"
"blur","1341","6692017","9nseM"
"focus","1341","6693244","9nseM"
"blur","1341","6701930","9nseM"
"focus","1341","6706300","9nseM"
