"event","trial","time","PID"
"fullscreenenter","0","7797","AT3xf"
"blur","54","110171","AT3xf"
"focus","54","111502","AT3xf"
"blur","54","115523","AT3xf"
"focus","54","117085","AT3xf"
"blur","54","124719","AT3xf"
"focus","54","126155","AT3xf"
"blur","183","495681","AT3xf"
"focus","183","496223","AT3xf"
"blur","183","510319","AT3xf"
"focus","183","510799","AT3xf"
"blur","405","808730","AT3xf"
"focus","405","809320","AT3xf"
"blur","408","833037","AT3xf"
"focus","408","856448","AT3xf"
"blur","844","1209224","AT3xf"
"focus","844","1237621","AT3xf"
"blur","1061","1398904","AT3xf"
"focus","1061","1401207","AT3xf"
"blur","1168","1520195","AT3xf"
"focus","1168","1520662","AT3xf"
"blur","1221","1611279","AT3xf"
"focus","1221","1670231","AT3xf"
"fullscreenexit","1336","1859547","AT3xf"
"blur","1336","1860323","AT3xf"
"focus","1336","1864229","AT3xf"
