"event","trial","time","PID"
"fullscreenenter","0","153312","AdUnY"
"fullscreenexit","44","387635","AdUnY"
"blur","44","388704","AdUnY"
"focus","44","474599","AdUnY"
"blur","54","627621","AdUnY"
"focus","54","647253","AdUnY"
"blur","57","748489","AdUnY"
"focus","57","749436","AdUnY"
"blur","183","1499835","AdUnY"
"focus","183","1587349","AdUnY"
"blur","183","1588885","AdUnY"
"focus","183","1589885","AdUnY"
"blur","405","1987077","AdUnY"
"focus","405","1988123","AdUnY"
"blur","624","2236459","AdUnY"
"focus","624","2245487","AdUnY"
"blur","1058","2654878","AdUnY"
"focus","1058","2661662","AdUnY"
"blur","1229","2982343","AdUnY"
"focus","1229","3010082","AdUnY"
"blur","1341","3317444","AdUnY"
"focus","1341","3321338","AdUnY"
