"event","trial","time","PID"
"blur","0","0","PzDjg"
"focus","0","0","PzDjg"
"blur","0","376413","PzDjg"
"focus","0","391914","PzDjg"
"blur","0","394424","PzDjg"
"focus","0","395519","PzDjg"
"blur","0","396737","PzDjg"
"focus","0","397966","PzDjg"
"blur","0","424452","PzDjg"
"focus","0","425431","PzDjg"
"blur","0","427282","PzDjg"
"focus","0","436969","PzDjg"
"blur","0","438400","PzDjg"
"focus","0","454267","PzDjg"
"blur","0","472253","PzDjg"
"focus","0","473658","PzDjg"
"blur","0","475158","PzDjg"
"focus","0","479927","PzDjg"
"blur","0","481733","PzDjg"
"focus","0","482989","PzDjg"
"blur","0","484660","PzDjg"
"focus","0","486746","PzDjg"
"fullscreenenter","0","494516","PzDjg"
"fullscreenexit","5","582206","PzDjg"
"blur","5","583797","PzDjg"
"focus","5","586476","PzDjg"
"blur","9","700165","PzDjg"
"focus","9","711522","PzDjg"
"blur","54","1086701","PzDjg"
"focus","54","1679165","PzDjg"
"blur","60","1892221","PzDjg"
"focus","60","1907711","PzDjg"
"blur","135","2148608","PzDjg"
"focus","141","2185412","PzDjg"
"blur","158","2218404","PzDjg"
"focus","158","2236497","PzDjg"
"blur","158","2393394","PzDjg"
"focus","158","2417897","PzDjg"
"blur","158","2419815","PzDjg"
"focus","158","2420770","PzDjg"
"blur","158","2421790","PzDjg"
"focus","158","2423304","PzDjg"
"blur","158","2424561","PzDjg"
"focus","158","2428050","PzDjg"
"blur","158","2428965","PzDjg"
"focus","158","2429776","PzDjg"
"blur","158","2431425","PzDjg"
"focus","158","2432096","PzDjg"
"blur","158","2539546","PzDjg"
"focus","158","2759581","PzDjg"
"blur","158","2761511","PzDjg"
"focus","158","2788642","PzDjg"
"blur","158","2790641","PzDjg"
"focus","158","2793108","PzDjg"
"blur","158","2794203","PzDjg"
"focus","158","3640207","PzDjg"
"blur","198","3732250","PzDjg"
"focus","198","3734117","PzDjg"
"blur","199","3818804","PzDjg"
"focus","199","3828200","PzDjg"
"blur","199","3834600","PzDjg"
"focus","199","3836333","PzDjg"
"blur","199","3841886","PzDjg"
"focus","199","3843475","PzDjg"
"blur","199","3849899","PzDjg"
"focus","199","3851501","PzDjg"
"blur","238","3955122","PzDjg"
"focus","239","3956347","PzDjg"
"blur","429","4188865","PzDjg"
"focus","429","4191813","PzDjg"
"blur","533","4292342","PzDjg"
"focus","534","4294148","PzDjg"
"blur","546","4304799","PzDjg"
"focus","547","4305753","PzDjg"
"blur","615","4355496","PzDjg"
"focus","616","4356729","PzDjg"
"blur","872","4541142","PzDjg"
"focus","874","4546453","PzDjg"
"blur","1014","4649540","PzDjg"
"focus","1015","4653643","PzDjg"
"blur","1137","4788036","PzDjg"
"focus","1137","4789393","PzDjg"
"blur","1137","4790466","PzDjg"
"focus","1137","4792761","PzDjg"
"blur","1160","4834234","PzDjg"
"focus","1160","5662386","PzDjg"
"blur","1160","5663011","PzDjg"
"focus","1160","5676521","PzDjg"
"blur","1217","5804938","PzDjg"
"focus","1217","5806076","PzDjg"
"blur","1241","5859239","PzDjg"
"focus","1242","5870253","PzDjg"
"blur","1246","5878018","PzDjg"
"focus","1246","5881321","PzDjg"
"focus","1246","5881322","PzDjg"
"blur","1253","5891240","PzDjg"
"focus","1254","5907276","PzDjg"
"blur","1266","5951156","PzDjg"
"focus","1266","5953474","PzDjg"
"blur","1270","5962664","PzDjg"
"focus","1270","5965207","PzDjg"
"focus","1270","5965208","PzDjg"
"blur","1300","6001364","PzDjg"
"focus","1300","6003428","PzDjg"
"blur","1301","6007320","PzDjg"
"focus","1302","6010375","PzDjg"
"blur","1314","6026297","PzDjg"
"focus","1314","6028044","PzDjg"
"blur","1327","6051750","PzDjg"
"focus","1327","6052717","PzDjg"
"blur","1327","6054086","PzDjg"
"focus","1327","6054807","PzDjg"
"blur","1338","6154806","PzDjg"
"focus","1338","6156100","PzDjg"
"blur","1338","6161755","PzDjg"
"focus","1338","6164385","PzDjg"
"blur","1338","6165912","PzDjg"
"focus","1338","6175811","PzDjg"
