"event","trial","time","PID"
"blur","0","0","QGgHx"
"focus","0","0","QGgHx"
"blur","0","11148","QGgHx"
"focus","0","49737","QGgHx"
"blur","0","51062","QGgHx"
"focus","0","188377","QGgHx"
"blur","0","189500","QGgHx"
"focus","0","1347724","QGgHx"
"blur","0","1348730","QGgHx"
"focus","0","1686529","QGgHx"
"blur","0","1687197","QGgHx"
"focus","0","1733365","QGgHx"
"blur","0","1734131","QGgHx"
"focus","0","1796235","QGgHx"
"blur","0","1796898","QGgHx"
"focus","0","2709500","QGgHx"
"blur","0","2710149","QGgHx"
"focus","0","4116429","QGgHx"
"blur","0","4119006","QGgHx"
"focus","0","9319982","QGgHx"
"blur","0","9320954","QGgHx"
"focus","0","9387275","QGgHx"
"blur","0","9388989","QGgHx"
"focus","0","10200736","QGgHx"
"blur","0","10201502","QGgHx"
"focus","0","10373032","QGgHx"
"blur","0","10373739","QGgHx"
"focus","0","11006742","QGgHx"
"blur","0","11007729","QGgHx"
"focus","0","11009265","QGgHx"
"blur","0","11010594","QGgHx"
"focus","0","17669702","QGgHx"
"blur","0","17670635","QGgHx"
"focus","0","17880323","QGgHx"
"blur","0","17880952","QGgHx"
"focus","0","17978196","QGgHx"
"fullscreenenter","0","17987447","QGgHx"
"blur","1315","20797789","QGgHx"
"focus","1315","20798703","QGgHx"
